Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,1370495,489773798,SOLE,
ASBURY AUTOMOTIVE GROUP INC,043436104,2155492,433426331,SOLE,
COUPANG INC,22266T109,13017964,226122035,SOLE,
LITHIA MTRS INC,536797103,2490534,723475222,SOLE,
LOAR HOLDINGS INC,53947R105,32050240,2583569846,SOLE,
META PLATFORMS INC,30303M102,325155,183156560,SOLE,
NUVATION BIO INC,67080N101,1270504,7216463,SOLE,
SOMNIGROUP INTERNATIONAL INC,88023U101,5798776,454624038,SOLE,
U HAUL HOLDING COMPANY,023586506,3251469,187609761,SOLE,
U HAUL HOLDING COMPANY,023586100,36401,2382081,SOLE,
WILLIS TOWERS WATSON PLC LTD,G96629103,720779,188390007,SOLE,
