Company,CUSIP,Shares,Value,Discretion
ACCENTURE PLC IRELAND,G1151C101,501245,173737,SOLE
ALCON INC,H01301128,6496157,539614,SOLE
ANALOG DEVICES INC,032654105,725799,143556,SOLE
BOOKING HLDGS INC,09857L108,85703,310920,SOLE
CADENCE DESIGN SYSTEM INC,127387108,310549,96668,SOLE
COPART INC,217204106,2801399,162257,SOLE
EQUIFAX INC,294429105,663812,177583,SOLE
LAUDER ESTEE COS INC,518439104,2709857,417724,SOLE
FAIR ISAAC CORP,303250104,249362,311605,SOLE
FERRARI N V,N3167Y103,688968,300301,SOLE
GENERAL ELECTRIC CO,369604301,2463934,432494,SOLE
INTERCONTINENTAL EXCHANGE INC,45866F104,2662714,365937,SOLE
INTUIT,461202103,522410,339567,SOLE
LINDE PLC,G54950103,344766,160082,SOLE
MARRIOTT INTL INC NEW,571903202,261008,65855,SOLE
MARSH & MCLENNAN COS,571748102,1275051,262635,SOLE
MICROSOFT CORP,594918104,1118229,470461,SOLE
MOODYS CORP,615369105,712769,280140,SOLE
MSCI INC,55354G100,440784,247037,SOLE
NIKE INC,654106103,1498301,140810,SOLE
OTIS WORLDWIDE CORP,68902V107,761938,75638,SOLE
PROCTER AND GAMBLE CO,742718109,1012959,164353,SOLE
THERMO FISHER SCIENTIFIC INC,883556102,460183,267463,SOLE
VISA INC,92826C839,1269481,354287,SOLE
WARNER MUSIC GROUP CORP,934550203,6527390,215534,SOLE
WARTERS CORP,941848103,838763,288727,SOLE
ZOETIS INC,98978V103,1735130,293601,SOLE
