Company,CUSIP,Shares,Value,Discretion,PutCall
AMAZON COM INC,023135106,1408315,308970,SOLE,
ANALOG DEVICES INC,032654105,1167224,247988,SOLE,
BOOKING HOLDINGS INC,09857L108,72470,360061,SOLE,
BOOZ ALLEN HAMILTON HLDG COR,099502106,92490,11903,SOLE,
CADENCE DESIGN SYSTEM INC,127387108,223944,67286,SOLE,
CANADIAN NATL RY CO,136375102,10992,1116,SOLE,
COPART INC,217204106,4391462,252026,SOLE,
EQUIFAX INC,294429105,726246,185084,SOLE,
FAIR ISAAC CORP,303250104,148602,295856,SOLE,
GE AEROSPACE,369604301,2693057,449175,SOLE,
ILLUMINA INC,452327109,495286,66185,SOLE,
INTERCONTINENTAL EXCHANGE IN,45866F104,2605657,388269,SOLE,
INTUIT,461202103,594479,373630,SOLE,
MSCI INC,55354G100,208903,125344,SOLE,
MARSH & MCLENNAN COS INC,571748102,2062828,438165,SOLE,
MICROSOFT CORP,594918104,1142735,481663,SOLE,
MOODYS CORP,615369105,653387,309294,SOLE,
PROCTER AND GAMBLE CO,742718109,1172423,196557,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,313784,163240,SOLE,
VISA INC,92826C839,1757145,555328,SOLE,
WARNER MUSIC GROUP CORP,934550203,4323994,134044,SOLE,
WATERS CORP,941848103,815379,302489,SOLE,
ZOETIS INC,98978V103,1505938,245362,SOLE,
ACCENTURE PLC IRELAND,G1151C101,1311465,461360,SOLE,
LINDE PLC,G54950103,128062,53616,SOLE,
ALCON AG,H01301128,5876280,498585,SOLE,
FERRARI N V,N3167Y103,619722,264138,SOLE,
