Company,CUSIP,Shares,Value,Discretion
AIRBNB INC,009066101,2649398,348157391,SOLE
AMERICAN TOWER CORP NEW,03027X100,5503413,1009380978,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,15274,6923399,SOLE
BROOKFIELD CORP,11271J107,18969179,1089779362,SOLE
CCC INTELLIGENT SOLUTIONS HL,12510Q100,10681398,125292799,SOLE
CARMAX INC,143130102,667437,54569649,SOLE
COSTAR GROUP INC,22160N109,9313880,666780669,SOLE
DANAHER CORPORATION,235851102,1775400,407543070,SOLE
DIGITALBRIDGE GROUP INC,25401T603,764730,8626152,SOLE
GOOSEHEAD INS INC,38267D109,366125,39255922,SOLE
KKR & CO L P DEL,48251w104,10283564,1521041886,SOLE
MASTERCARD INCORPORATED,57636Q104,3703739,1950277845,SOLE
MOODYS CORP,615369105,3078927,1457471674,SOLE
OREILLY AUTOMOTIVE INC,67103H107,895280,1061623024,SOLE
ROPER TECHNOLOGIES INC,776696106,1481929,770380791,SOLE
SOPHIA GENETICS SA,H82027105,2237504,6869137,SOLE
VERISK ANALYTICS INC,92345Y106,11301,3112634,SOLE
VISA INC,92826C839,3271740,1034000710,SOLE
