Company,CUSIP,Shares,Value,Discretion,PutCall
AIRBNB INC,009066101,3473243,459648979,SOLE,
AMERICAN TOWER CORP NEW,03027X100,915249,202288334,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,13985,6793493,SOLE,
BROOKFIELD CORP,11271J107,19219290,1188713075,SOLE,
CCC INTELLIGENT SOLUTIONS HL,12510Q100,14770128,138986904,SOLE,
CARMAX INC,143130102,150600,10121826,SOLE,
COPART INC,217204106,1200000,58884000,SOLE,
COSTAR GROUP INC,22160N109,9309232,748462253,SOLE,
DANAHER CORPORATION,235851102,1775400,350712516,SOLE,
FAIR ISAAC CORP,303250104,9148,16722178,SOLE,
GOOSEHEAD INS INC,38267D109,366125,38629849,SOLE,
KKR & CO L P DEL,48251w104,8847564,1176991380,SOLE,
MASTERCARD INCORPORATED,57636Q104,3295286,1851753015,SOLE,
MOODYS CORP,615369105,2305424,1156377624,SOLE,
OREILLY AUTOMOTIVE INC,67103H107,9410714,848187653,SOLE,
ROPER TECHNOLOGIES INC,776696106,1439468,815948041,SOLE,
SOPHIA GENETICS SA,H82027105,3719140,11529334,SOLE,
VERISK ANALYTICS INC,92345Y106,8639,2691048,SOLE,
VISA INC,92826C839,3175240,1127368962,SOLE,
