Company,CUSIP,Shares,Value,Discretion
ALPHABET INC-CL A,02079K305,3480801,658915629,SOLE
AMAZON.COM INC,023135106,5278320,1158010625,SOLE
CHARTER COMMUNICATIONS INC-A,16119P108,6025,2065189,SOLE
FAIR ISAAC INC,303250104,670,1333923,SOLE
HILTON WORLDWIDE,43300A203,91328,22572628,SOLE
MASTERCARD INC-CLASS A,57636Q104,586254,308703769,SOLE
MICROSOFT CORP,594918104,1891641,797326682,SOLE
MOODYS CORP,615369105,950905,450129900,SOLE
TRANSDIGM GROUP INC,893641100,1000604,1268045437,SOLE
VISA INC-CLASS A SHRS,92826C839,874912,276507188,SOLE
