Company,CUSIP,Shares,Value,Discretion,PutCall
AMAZON COM INC,023135106,1464863,321376293,SOLE,
ARM HOLDINGS PLC,042068205,933208,150937062,SOLE,
MAPLEBEAR INC,565394103,4216768,190766584,SOLE,
CONFLUENT INC,20717M103,15552976,387735692,SOLE,
COREWEAVE INC,21873S108,649536,105913340,SOLE,
COUPANG INC,22266T109,11432698,342523632,SOLE,
DATADOG INC,23804L103,881730,118442790,SOLE,
GRAB HOLDINGS LIMITED,G0370L116,3502000,1369282,SOLE,
ROBINHOOD MKTS INC,770700102,3245457,303872139,SOLE,
SAMSARA INC,79589L106,2990578,118965194,SOLE,
MERCADOLIBRE INC,58733R102,46539,121635727,SOLE,
META PLATFORMS INC,30303M102,1877301,1385617094,SOLE,
MICROSOFT CORP,594918104,1058121,526319967,SOLE,
NVIDIA CORPORATION,67066G104,8252160,1303758759,SOLE,
SNOWFLAKE INC,833445109,2825630,632291226,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,867209,196414167,SOLE,
UBER TECHNOLOGIES INC,90353T100,5953104,555424604,SOLE,
ZILLOW GROUP INC,98954M200,2387772,167263428,SOLE,
