Company,CUSIP,Shares,Value,Discretion
AMERICAN AIRLS GROUP INC,02376R102,8602148,314839,SOLE
AMERICAN INTL GROUP INC,026874784,1224848,61255,SOLE
APPLE INC,037833100,250378,134388,SOLE
ASML HOLDING N V,N07059210,525275,49040,SOLE
AXIALL CORP,05463D100,1418309,63710,SOLE
BAIDU INC,056752108,205692,31343,SOLE
BEAZER HOMES USA INC,07556Q881,253275,5086,SOLE
BERRY PLASTICS GROUP INC,08579W103,1252302,28991,SOLE
BROADCOM CORP,111320107,1693336,53306,SOLE
CBS CORP NEW,124857202,1260224,77882,SOLE
CELANESE CORP DEL,150870103,1356268,75286,SOLE
CHICAGO BRIDGE & IRON CO N V,167250109,1228114,107030,SOLE
CITIGROUP INC,172967424,10075139,479577,SOLE
COMCAST CORP NEW,20030N101,902888,45162,SOLE
DELPHI AUTOMOTIVE PLC,G27823106,713311,48405,SOLE
DELTA AIR LINES INC DEL,247361702,5969683,206850,SOLE
DISNEY WALT CO,254687106,1376500,110216,SOLE
DU PONT E I DE NEMOURS & CO,263534109,1063942,71391,SOLE
EASTMAN CHEM CO,277432100,1150396,99176,SOLE
EXPEDIA INC DEL,30212P303,695837,50448,SOLE
FACEBOOK INC,30303M102,478500,28825,SOLE
FORD MTR CO DEL,345370860,7286816,113674,SOLE
GENERAL MTRS CO,37045V100,7884118,271371,SOLE
GENERAL MTRS CO,37045V118,184879,4592,SOLE
GENERAL MTRS CO,37045V126,184879,3219,SOLE
GOODYEAR TIRE & RUBR CO,382550101,11281096,294775,SOLE
GOOGLE INC,38259P508,442259,492902,SOLE
HALLIBURTON CO,406216101,5024621,295900,SOLE
HARTFORD FINL SVCS GROUP INC,416515120,1275475,34004,SOLE
HCA HOLDINGS INC,40412C101,5326882,279661,SOLE
HD SUPPLY HLDGS INC,40416M105,1009630,26402,SOLE
HESS CORP,42809H107,411780,34128,SOLE
HUNTSMAN CORP,447011107,7315375,178641,SOLE
INGERSOLL-RAND PLC,G47791101,508679,29117,SOLE
INGREDION INC,457187102,718896,48942,SOLE
JPMORGAN CHASE & CO,46625H100,1192600,72403,SOLE
KBR INC,48242W106,2550000,68034,SOLE
MASCO CORP,574599106,3176775,70556,SOLE
METLIFE INC,59156R108,1113663,58801,SOLE
MGM RESORTS INTERNATIONAL,552953101,3598758,93064,SOLE
MUELLER WTR PRODS INC,624758108,3031510,28799,SOLE
OMNICOM GROUP INC,681919106,354086,25707,SOLE
OWENS CORNING NEW,690742101,3046430,131514,SOLE
PLY GEM HLDGS INC,72941W100,422988,5342,SOLE
POWERSHARES QQQ TRUST,73935A104,9300167,815439,SOLE
POWERSHARES QQQ TRUST,73935A104,5000000,438400,SOLE
PRICELINE COM INC,741503403,183224,218383,SOLE
PRUDENTIAL FINL INC,744320102,755727,63972,SOLE
QUALCOMM INC,747525103,988523,77955,SOLE
SCHLUMBERGER LTD,806857108,598400,58344,SOLE
SPDR S&P 500 ETF TR,78462F103,4814613,900525,SOLE
SPDR S&P 500 ETF TR,78462F103,6000000,1122240,SOLE
TEREX CORP NEW,880779103,1266163,56091,SOLE
TRINITY INDS INC,896522109,695444,50121,SOLE
TRIUMPH GROUP INC NEW,896818101,930876,60116,SOLE
UNITED CONTL HLDGS INC,910047109,4648495,207462,SOLE
VALMONT INDS INC,920253101,225535,33569,SOLE
WHIRLPOOL CORP,963320106,1016847,151978,SOLE
