Company,CUSIP,Shares,Value,Discretion,PutCall
AMERICAN AIRLS GROUP INC,02376R102,4355050,233561,SOLE,
AMERICAN RLTY CAP PPTYS INC,02917T104,2927632,26495,SOLE,
AXIALL CORP,05463D100,1135088,48207,SOLE,
CHICAGO BRIDGE & IRON CO N V,167250109,1347598,56572,SOLE,
DELTA AIR LINES INC DEL,247361702,3221474,158464,SOLE,
EASTMAN CHEM CO,277432100,474852,36022,SOLE,
GENERAL MTRS CO,37045V118,190011,4800,SOLE,
GENERAL MTRS CO,37045V126,190011,3255,SOLE,
GENERAL MTRS CO,37045V100,14678800,512437,SOLE,
GOODYEAR TIRE & RUBR CO,382550101,10238716,292520,SOLE,
GOOGLE INC,38259P508,369687,196178,SOLE,
GOOGLE INC,38259P706,499887,263141,SOLE,
HARTFORD FINL SVCS GROUP INC,416515120,500000,17125,SOLE,
HCA HOLDINGS INC,40412C101,5010582,367727,SOLE,
HD SUPPLY HLDGS INC,40416M105,1304309,38464,SOLE,
HUNTSMAN CORP,447011107,6114274,139283,SOLE,
KBR INC,48242W106,2042473,34620,SOLE,
LORILLARD INC,544147101,1076900,67780,SOLE,
MASCO CORP,574599106,4600409,115930,SOLE,
NXP SEMICONDUCTORS N V,N6596X109,2352752,179750,SOLE,
OWENS CORNING NEW,690742101,2834260,101495,SOLE,
PRICELINE COM INC,741503403,316874,361303,SOLE,
RYLAND GROUP INC,783764103,890159,34325,SOLE,
SPDR S&P 500 ETF TR,78462F103,22854,4696,SOLE,
TEREX CORP NEW,880779103,1651706,46050,SOLE,
TRIUMPH GROUP INC NEW,896818101,759625,51062,SOLE,
UNITED CONTL HLDGS INC,910047109,4919067,329036,SOLE,
WHIRLPOOL CORP,963320106,1698595,329086,SOLE,
