Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,800,1650,SOLE,
AMERICAN EXPRESS CO,025816109,210000,29702,SOLE,
BK OF AMERICA CORP,060505104,767845,29708,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,30,11571,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,140600,35919,SOLE,
FERRARI N V,N3167Y103,80000,16736,SOLE,
MASTERCARD INCORPORATED,57636Q104,65750,23410,SOLE,
MICRON TECHNOLOGY INC,595112103,200000,17642,SOLE,
MOODYS CORP,615369105,27000,8063,SOLE,
SERITAGE GROWTH PPTYS,81752R100,500000,9175,SOLE,
TWITTER INC,90184L102,30000,1909,SOLE,
WELLS FARGO CO NEW,949746101,151741,5929,SOLE,
