Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,47500,7032,SOLE
ALPHABET INC,02079K305,800,2139,SOLE
AMERICAN EXPRESS CO,025816109,210000,35181,SOLE
BK OF AMERICA CORP,060505104,767845,32595,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,30,12341,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,140600,38375,SOLE
DAILY JOURNAL CORP,233912104,11500,3684,SOLE
FERRARI N V,N3167Y103,80000,16763,SOLE
MASTERCARD INC,57636Q104,65750,22860,SOLE
MICRON TECHNOLOGY INC,595112103,200000,14196,SOLE
MOODYS CORP,615369105,27000,9588,SOLE
SERITAGE GROWTH PPTYS,81752R100,500000,7415,SOLE
TWITTER INC,90184L102,30000,1812,SOLE
