Company,CUSIP,Shares,Value,Discretion,PutCall
ABBVIE INC,00287Y109,151752,26966330,SOLE,
ADT INC DEL,00090Q103,43667,301739,OTR,
ADT INC DEL,00090Q103,921698,6368933,OTR,
ADT INC DEL,00090Q103,27614771,190818068,SOLE,
ADTALEM GLOBAL ED INC,00737L103,3402,309072,OTR,
ADTALEM GLOBAL ED INC,00737L103,53416,4852844,OTR,
ADTALEM GLOBAL ED INC,00737L103,2036386,185005668,SOLE,
AFFILIATED MANAGERS GROUP IN,008252108,54159,10015082,OTR,
AFFILIATED MANAGERS GROUP IN,008252108,1369768,253297499,SOLE,
AFLAC INC,001055102,2356,243705,OTR,
AFLAC INC,001055102,302229,31262568,SOLE,
ALLSTATE CORP,020002101,183116,35302934,SOLE,
APA CORPORATION,03743Q108,246222,5685266,SOLE,
APTIV PLC,G3265R107,879186,53173169,SOLE,
AXALTA COATING SYS LTD,G0750C108,9909,339086,OTR,
AXALTA COATING SYS LTD,G0750C108,180008,6159874,OTR,
AXALTA COATING SYS LTD,G0750C108,4023295,137677155,SOLE,
BAIDU INC,056752108,355193,29946322,SOLE,
BANK AMERICA CORP,060505104,164820,7243839,SOLE,
BARRICK GOLD CORP,067901108,252257,3909984,SOLE,
BIO RAD LABS INC,090572207,1098,360704,OTR,
BIO RAD LABS INC,090572207,13994,4597169,OTR,
BIO RAD LABS INC,090572207,545432,179179866,SOLE,
BOK FINL CORP,05561Q201,61917,6591065,OTR,
BOK FINL CORP,05561Q201,1740764,185304328,SOLE,
BORGWARNER INC,099724106,7654,243321,OTR,
BORGWARNER INC,099724106,993989,31598910,SOLE,
BOYD GAMING CORP,103304101,114522,8307426,OTR,
BOYD GAMING CORP,103304101,3071878,222834030,SOLE,
BRADY CORP,104674106,3840,283584,OTR,
BRINKS CO,109696104,9276,860535,OTR,
BRINKS CO,109696104,125461,11639017,OTR,
BRINKS CO,109696104,1147367,106441237,SOLE,
CAPITAL ONE FINL CORP,14040H105,275884,49195635,SOLE,
