Company,CUSIP,Shares,Value,Discretion
EASTMAN CHEM CO,277432100,367857,36038950,SOLE
HUNTSMAN CORP,447011107,200000,4554000,SOLE
TIMKEN CO,887389104,40000,3205200,SOLE
FLOWSERVE CORP,34354P105,269882,12981324,SOLE
WESCO INTL INC,95082P105,167500,26552100,SOLE
TEREX CORP NEW,880779103,530538,29094704,SOLE
WEATHERFORD INTL PLC,G48833118,243101,29767717,SOLE
GOODYEAR TIRE & RUBR CO,382550101,1350000,15322500,SOLE
ASHLAND INC,044186104,60000,5669400,SOLE
PATTERSON-UTI ENERGY INC,703481101,2130000,22066800,SOLE
CHART INDS INC,16115Q308,70000,10103800,SOLE
APTIV PLC,G6095L109,377275,26567706,SOLE
