Company,CUSIP,Shares,Value,Discretion,PutCall
WEATHERFORD INTL PLC,G48833118,212223,20072051,SOLE,
APTIV PLC,G3265R107,322971,22427106,SOLE,
OSHKOSH CORP,688239201,136300,20064723,SOLE,
NOMAD FOODS LTD,G6564A105,1332772,12807939,SOLE,
KIRBY CORP,497266106,257000,34150160,SOLE,
ABM INDS INC,000957100,220000,8474400,SOLE,
DAUCH CORP,024061103,3840000,22771200,SOLE,
DENTSPLY SIRONA INC,24906P109,610000,7076000,SOLE,
DOLE PLC,G27907107,675948,9659297,SOLE,
MOHAWK INDS INC,608190104,40000,3938400,SOLE,
NATIONAL ENERGY SERVICES REU,G6375R107,60000,1288200,SOLE,
PVH CORPORATION,693656100,128000,8929280,SOLE,
