Company,CUSIP,Shares,Value,Discretion,PutCall
ACV AUCTIONS INC,00091G104,9734467,41274140,SOLE,
AEROVIRONMENT INC,008073108,161675,29594609,SOLE,
AFFIRM HLDGS INC,00827B106,1194711,54741658,SOLE,
AKAMAI TECHNOLOGIES INC,00971T101,682837,78423829,SOLE,
ALPHABET INC,02079K305,555023,159602414,SOLE,
AMAZON COM INC,023135106,953560,198597941,SOLE,
AMBIQ MICRO INC,023193105,862175,21907867,SOLE,
ASTERA LABS INC,04626A103,3365787,368890255,SOLE,
AXON ENTERPRISE INC,05464C101,102095,43358726,SOLE,
BITGO HOLDINGS INC,091947101,29106,239542,SOLE,
CHIME FINL INC,16935C109,1622734,30393808,SOLE,
CIENA CORP,171779309,676807,262756782,SOLE,
COHERENT CORP,19247G107,631159,150348385,SOLE,
COMPASS INC,20464U100,5561998,40658205,SOLE,
COREWEAVE INC,21873S108,810535,62792146,SOLE,
CREDO TECHNOLOGY GROUP HOLDI,G25457105,1091233,102434042,SOLE,
DICKS SPORTING GOODS INC,253393102,452531,89732372,SOLE,
ECHOSTAR CORP,278768106,1000346,117110506,SOLE,
EQUIPMENTSHARE COM INC,29445S100,213431,4347589,SOLE,
FERGUSON ENTERPRISES INC,31488V107,146355,34138767,SOLE,
GLOBALFOUNDRIES INC,G39387108,474593,21109897,SOLE,
HUBSPOT INC,443573100,232115,56659272,SOLE,
INTEL CORP,458140100,653792,28851841,SOLE,
INVESCO QQQ TR,46090E103,1400000,808052000,SOLE,Put
JFROG LTD,M6191J100,554987,26045540,SOLE,
LUMENTUM HLDGS INC,55024U109,267389,187910294,SOLE,
MASTERCARD INCORPORATED,57636Q104,49604,24785135,SOLE,
MICRON TECHNOLOGY INC,595112103,760426,256902320,SOLE,
NEBIUS GROUP N.V.,N97284108,63068,6543936,SOLE,
NOKIA CORP,654902204,2481947,19954854,SOLE,
NVIDIA CORPORATION,67066G104,1248592,217754445,SOLE,
PALO ALTO NETWORKS INC,697435105,561797,90067295,SOLE,
RALPH LAUREN CORP,751212101,128837,44318640,SOLE,
ROBLOX CORP,771049103,1000000,56560000,SOLE,Call
ROBLOX CORP,771049103,1383703,78262242,SOLE,
ROCKET COS INC,77311W101,6114947,87137995,SOLE,
ROGERS CORP,775133101,186085,19972503,SOLE,
RUBRIK INC.,781154109,566454,27739252,SOLE,
SEMTECH CORP,816850101,541812,41659925,SOLE,
SNOWFLAKE INC,833445109,144818,21841451,SOLE,
SYNOPSYS INC,871607107,136925,54288024,SOLE,
TABOOLA.COM LTD,M8744T106,820797,2544471,SOLE,
TESLA INC,88160R101,200795,74645541,SOLE,
TWILIO INC,90138F102,921602,115955964,SOLE,
UNITY SOFTWARE INC,91332U101,1500000,32910000,SOLE,Call
UNITY SOFTWARE INC,91332U101,12385322,271733965,SOLE,
VEECO INSTRS INC DEL,922417100,233923,7920633,SOLE,
VISA INC,92826C839,71641,21652776,SOLE,
VISTRA CORP,92840M102,523788,78741050,SOLE,
WARBY PARKER INC,93403J106,686995,14474985,SOLE,
WAYFAIR INC,94419L101,1430997,107625284,SOLE,
WINGSTOP INC,974155103,270303,41888856,SOLE,
WIX COM LTD,M98068105,650414,58582789,SOLE,
ZOOM COMMUNICATIONS INC,98980L101,1315605,105761486,SOLE,
