Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,1371931,484744,SOLE,
AMAZON COM INC,023135106,3743854,892310,SOLE,
AMERICOLD REALTY TRUST INC,03064D108,6830230,107371,SOLE,
AON PLC,G0403H108,687000,227871,SOLE,
AXALTA COATING SYS LTD,G0750C108,1274356,43608,SOLE,
CME GROUP INC,12572Q105,619000,136694,SOLE,
DNOW INC,67011P100,2788000,36160,SOLE,
EAGLE MATLS INC,26969P108,530763,119422,SOLE,
ELEVANCE HEALTH INC FORMERLY,036752103,1275154,493140,SOLE,
FERGUSON ENTERPRISES INC,31488V107,1450594,344269,SOLE,
GDS HLDGS LTD,36165L108,3769818,113208,SOLE,
GENUINE PARTS CO,372460105,2816178,332253,SOLE,
GRUPO AEROMEXICO SAB DE CV,40054J109,4880188,87843,SOLE,
HERBALIFE LTD,G4412G101,9259844,121767,SOLE,
LIBERTY GLOBAL LTD,G61188127,8543161,93975,SOLE,
MOLINA HEALTHCARE INC,60855R100,633609,144906,SOLE,
NORWEGIAN CRUISE LINE HLDGS,G66721104,7730000,163180,SOLE,
PERSHING SQUARE INC,71531U102,392000,12881,SOLE,
RESTAURANT BRANDS INTL INC,76131D103,6753112,489612,SOLE,
TELEFLEX INCORPORATED,879369106,1409000,178605,SOLE,
UNION PAC CORP,907818108,1185395,322427,SOLE,
VISA INC,92826C839,701355,240628,SOLE,
WESCO INTL INC,95082P105,662881,228979,SOLE,
