Company,CUSIP,Shares,Value,Discretion,PutCall
ALLY FINL INC,02005N100,12561737,577211815,DFND,
ALLY FINL INC,02005N100,2803875,128838056,DFND,
ALLY FINL INC,02005N100,4228200,194285790,DFND,
ALLY FINL INC,02005N100,1707580,78463301,DFND,
ALLY FINL INC,02005N100,4423608,203264788,DFND,
ALLY FINL INC,02005N100,1275000,58586250,DFND,
ALPHABET INC,02079K107,27188433,9606489032,DFND,
ALPHABET INC,02079K305,16700,5968079,DFND,
ALPHABET INC,02079K305,6700000,2394379000,DFND,
ALPHABET INC,02079K305,6250000,2233562500,DFND,
ALPHABET INC,02079K305,65824467,23523689772,DFND,
AMERICAN EXPRESS CO,025816109,1149942,388967882,DFND,
AMERICAN EXPRESS CO,025816109,149061045,50419898471,DFND,
AMERICAN EXPRESS CO,025816109,1399713,473452922,DFND,
APPLE INC,037833100,692000,200237120,DFND,
APPLE INC,037833100,3840000,1111142400,DFND,
APPLE INC,037833100,34000,9838240,DFND,
APPLE INC,037833100,34724000,10047736640,DFND,
APPLE INC,037833100,2724000,788216640,DFND,
APPLE INC,037833100,15532000,4494339520,DFND,
APPLE INC,037833100,61542988,17808079008,DFND,
APPLE INC,037833100,7204000,2084549440,DFND,
APPLE INC,037833100,14472000,4187617920,DFND,
APPLE INC,037833100,80664820,23341172315,DFND,
APPLE INC,037833100,2712000,784744320,DFND,
APPLE INC,037833100,3776000,1092623360,DFND,
BANK OF AMER CORP,060505104,3920000,223361600,DFND,
BANK OF AMER CORP,060505104,11900000,678062000,DFND,
BANK OF AMER CORP,060505104,145500,8290590,DFND,
BANK OF AMER CORP,060505104,2100000,119658000,DFND,
BANK OF AMER CORP,060505104,21000000,1196580000,DFND,
BANK OF AMER CORP,060505104,308808515,17595909185,DFND,
BANK OF AMER CORP,060505104,125720000,7163525600,DFND,
BANK OF AMER CORP,060505104,9800000,558404000,DFND,
CAPITAL ONE FINL CORP,14040H105,1138112,228328029,DFND,
CAPITAL ONE FINL CORP,14040H105,1861888,373531971,DFND,
CHEVRON CORPORATION,166764100,3454258,572577806,DFND,
CHEVRON CORPORATION,166764100,9192171,1523694265,DFND,
CHEVRON CORPORATION,166764100,13477678,2234059905,DFND,
CHEVRON CORPORATION,166764100,58251749,9655809914,DFND,
COCA COLA CO,191216100,800000,65016000,DFND,
COCA COLA CO,191216100,371471,30189448,DFND,
COCA COLA CO,191216100,85000,6907950,DFND,
COCA COLA CO,191216100,80283200,6524615664,DFND,
COCA COLA CO,191216100,1824000,148236480,DFND,
COCA COLA CO,191216100,14411200,1171198224,DFND,
COCA COLA CO,191216100,14990400,1218269808,DFND,
COCA COLA CO,191216100,282722729,22976876186,DFND,
COCA COLA CO,191216100,3552000,288671040,DFND,
COCA COLA CO,191216100,960000,78019200,DFND,
D R HORTON INC,23331A109,3564,580504,DFND,
DAVITA INC,23918K108,14973608,3331328308,DFND,
DAVITA INC,23918K108,13906601,3093940590,DFND,
DELTA AIR LINES INC,247361702,57320000,5368591200,DFND,
JEFFERIES FINANCIAL GROUP IN,47233W109,433558,21669229,DFND,
KRAFT HEINZ CO,500754106,325634818,7691494401,DFND,
KROGER CO,501044101,5607090,311361708,DFND,
KROGER CO,501044101,768531,42676526,DFND,
KROGER CO,501044101,5367119,298036118,DFND,
KROGER CO,501044101,27257260,1513595648,DFND,
LENNAR CORP,526057104,745392,67450522,DFND,
LENNAR CORP,526057104,12366349,1119030921,DFND,
LENNAR CORP,526057302,298117,26445959,DFND,
LIBERTY LIVE HOLDINGS INC,530909100,1011698,102444539,DFND,
LIBERTY LIVE HOLDINGS INC,530909100,3284775,332616317,DFND,
LIBERTY LIVE HOLDINGS INC,530909100,233347,23628717,DFND,
LIBERTY LIVE HOLDINGS INC,530909100,456768,46252328,DFND,
LIBERTY LIVE HOLDINGS INC,530909308,3479651,367590332,DFND,
LIBERTY LIVE HOLDINGS INC,530909308,5507583,581821068,DFND,
LIBERTY LIVE HOLDINGS INC,530909308,162620,17179177,DFND,
LIBERTY LIVE HOLDINGS INC,530909308,1437289,151835210,DFND,
LOUISIANA PAC CORP,546347105,1319884,103822075,DFND,
LOUISIANA PAC CORP,546347105,4344909,341770542,DFND,
MACYS INC,55616P104,443799,10451466,DFND,
MACYS INC,55616P104,1376226,32410122,DFND,
MACYS INC,55616P104,5527401,130170294,DFND,
MOODYS CORP,615369105,72100,32655532,DFND,
MOODYS CORP,615369105,11973928,5423231470,DFND,
MOODYS CORP,615369105,12623750,5717548850,DFND,
NVR INC,62944T105,11112,75710501,DFND,
NEW YORK TIMES CO MTN BE,650111107,1400000,97972000,DFND,
NEW YORK TIMES CO MTN BE,650111107,14300000,1000714000,DFND,
NUCOR CORP,670346105,1857752,413814258,DFND,
OCCIDENTAL PETE CORP,674599105,264941431,12868205304,DFND,
SIRIUSXM HOLDINGS INC,829933100,15984890,472193651,DFND,
SIRIUSXM HOLDINGS INC,829933100,108822227,3214608586,DFND,
VERISIGN INC,92343E102,972947,244754547,DFND,
VERISIGN INC,92343E102,8016933,2016739665,DFND,
CHUBB LIMITED,H1467J104,34249183,11670066615,DFND,
