Company,CUSIP,Shares,Value,Discretion
ALLY FINL INC,02005N100,10000,364700,SOLE
ALPHABET INC,02079K107,3790,592112,SOLE
ALPHABET INC,02079K305,21858,3380121,SOLE
AMAZON COM INC,023135106,1400,266364,SOLE
ANTERO MIDSTREAM CORP,03676B102,1918528,34533504,SOLE
AUTONATION INC,05329W102,1130055,182978506,SOLE
BANK AMERICA CORP,060505104,14532,606420,SOLE
BUILDERS FIRSTSOURCE INC,12008R107,1241578,155122755,SOLE
CAPITAL ONE FINL CORP,14040H105,631553,113237453,SOLE
COMCAST CORP NEW,20030N101,31094,1147369,SOLE
D R HORTON INC,23331A109,1174997,149377369,SOLE
DISCOVER FINL SVCS,254709108,1608880,274635816,SOLE
ELEVANCE HEALTH INC,036752103,1577570,686179847,SOLE
F&G ANNUITIES & LIFE INC,30190A104,5289163,190674326,SOLE
FIDELITY NATIONAL FINANCIAL,31620R303,3533961,229990182,SOLE
HCA HEALTHCARE INC,40412C101,1923,664493,SOLE
ICON PLC,G4705A100,5000,874950,SOLE
JPMORGAN CHASE & CO.,46625H100,5643,1384228,SOLE
LENNAR CORP,526057104,2189608,251323206,SOLE
LITHIA MTRS INC,536797103,381889,112099697,SOLE
MARRIOTT INTL INC NEW,571903202,1194,284411,SOLE
MASTERCARD INCORPORATED,57636Q104,422,231307,SOLE
MICROSOFT CORP,594918104,1275,478622,SOLE
MILLROSE PPTYS INC,601137102,7958813,210988133,SOLE
MOODYS CORP,615369105,471,219340,SOLE
MPLX LP,55336V100,4364086,233565883,SOLE
ONEMAIN HLDGS INC,68268W103,7343636,358956928,SOLE
PRIMERICA INC,74164M108,834654,237484103,SOLE
PROGRESSIVE CORP,743315103,1746,494135,SOLE
RYANAIR HOLDINGS PLC,783513203,5476889,232055787,SOLE
S&P GLOBAL INC,78409V104,401,203748,SOLE
SLM CORP,78442P106,9455374,277704334,SOLE
TD SYNNEX CORPORATION,87162W100,4076466,423789405,SOLE
UNITEDHEALTH GROUP INC,91324P102,499,261351,SOLE
VISA INC,92826C839,618,216584,SOLE
