Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,20258,6340754,SOLE,
ALPHABET INC,02079K107,3790,1189302,SOLE,
AMAZON COM INC,023135106,1400,323148,SOLE,
ANTERO MIDSTREAM CORP,03676B102,1847972,32875422,SOLE,
APPLIED MATLS INC,038222105,961,246967,SOLE,
AUTONATION INC,05329W102,1552741,320609962,SOLE,
BANK AMERICA CORP,060505104,26532,1459260,SOLE,
BUILDERS FIRSTSOURCE INC,12008R107,2379145,244790229,SOLE,
CAPITAL ONE FINL CORP,14040H105,1008862,244507794,SOLE,
COMCAST CORP NEW,20030N101,31094,929400,SOLE,
D R HORTON INC,23331A109,701822,101083423,SOLE,
ELEVANCE HEALTH INC FORMERLY,036752103,1251803,438819542,SOLE,
F&G ANNUITIES & LIFE INC,30190A104,5377029,165881338,SOLE,
FIDELITY NATIONAL FINANCIAL,31620R303,3519089,192107069,SOLE,
HCA HEALTHCARE INC,40412C101,3923,1831492,SOLE,
JPMORGAN CHASE & CO.,46625H100,5643,1818287,SOLE,
LENNAR CORP,526057104,2411414,247893359,SOLE,
MARRIOTT INTL INC NEW,571903202,1194,370427,SOLE,
MASTERCARD INCORPORATED,57636Q104,422,240911,SOLE,
META PLATFORMS INC,30303M102,338,223110,SOLE,
MICROSOFT CORP,594918104,525,253900,SOLE,
MILLROSE PPTYS INC,601137102,8600224,256888691,SOLE,
MOODYS CORP,615369105,471,240610,SOLE,
MPLX LP,55336V100,4474115,238783518,SOLE,
ONEMAIN HLDGS INC,68268W103,7739293,522789242,SOLE,
PRIMERICA INC,74164M108,780125,201553095,SOLE,
PROGRESSIVE CORP,743315103,1746,397599,SOLE,
RYANAIR HOLDINGS PLC,783513203,3056698,220663029,SOLE,
S&P GLOBAL INC,78409V104,401,209559,SOLE,
SLM CORP,78442P106,12831965,347232973,SOLE,
TD SYNNEX CORPORATION,87162W100,3163239,475213395,SOLE,
US BANCORP DEL,902973304,15000,800400,SOLE,
VISA INC,92826C839,618,216739,SOLE,
