Company,CUSIP,Shares,Value,Discretion
ADOBE INC,00724F101,212790,110178406,DFND
ADOBE INC,00724F101,306837,158874062,DFND
AGILENT TECHNOLOGIES INC,00846U101,1351036,200601825,DFND
AGILENT TECHNOLOGIES INC,00846U101,1947894,289223301,DFND
ALPHABET INC,02079K305,2635392,437079763,DFND
ALPHABET INC,02079K305,1827856,303149918,DFND
AMERICAN TOWER CORP NEW,03027X100,1143889,266022826,DFND
AMERICAN TOWER CORP NEW,03027X100,793363,184504499,DFND
ANALOG DEVICES INC,032654105,940311,216431383,DFND
ANALOG DEVICES INC,032654105,1356811,312297188,DFND
AON PLC,G0403H108,539050,186505910,DFND
AON PLC,G0403H108,777168,268892356,DFND
APPLIED MATLS INC,038222105,1859145,375640247,DFND
APPLIED MATLS INC,038222105,1289453,260533979,DFND
BLACKROCK INC,09247X101,265690,252275312,DFND
BLACKROCK INC,09247X101,223009,211749276,DFND
BROADCOM INC,11135F101,4329522,746842545,DFND
BROADCOM INC,11135F101,3001871,517822748,DFND
CANADIAN PACIFIC KANSAS CITY,13646K108,1517234,129784196,DFND
CANADIAN PACIFIC KANSAS CITY,13646K108,2187918,187154506,DFND
CBRE GROUP INC,12504L109,1934241,240774320,DFND
CBRE GROUP INC,12504L109,2789003,347175093,DFND
CDW CORP,12514G108,756784,171260219,DFND
CDW CORP,12514G108,524860,118775818,DFND
CME GROUP INC,12572Q105,682061,150496760,DFND
CME GROUP INC,12572Q105,982755,216844891,DFND
CREDIT ACCEP CORP MICH,225310101,134044,59437790,DFND
CREDIT ACCEP CORP MICH,225310101,93013,41243824,DFND
ECOLAB INC,278865100,682437,174246639,DFND
ECOLAB INC,278865100,473302,120848200,DFND
ENTEGRIS INC,29362U104,951924,107120008,DFND
ENTEGRIS INC,29362U104,1372537,154451589,DFND
EQUIFAX INC,294429105,1077826,316729948,DFND
EQUIFAX INC,294429105,747574,219682096,DFND
FASTENAL CO,311900104,2009033,143485137,DFND
FASTENAL CO,311900104,2896641,206878100,DFND
FERGUSON ENTERPRISES INC,31488V107,1001524,198872621,DFND
FERGUSON ENTERPRISES INC,31488V107,695147,138035340,DFND
FLUTTER ENTMT PLC,G3643J108,1415601,335893805,DFND
FLUTTER ENTMT PLC,G3643J108,981783,232957470,DFND
INTERACTIVE BROKERS GROUP IN,45841N107,1383275,192773204,DFND
INTERACTIVE BROKERS GROUP IN,45841N107,1994368,277935124,DFND
INTERCONTINENTAL EXCHANGE IN,45866F104,1447488,232524472,DFND
INTERCONTINENTAL EXCHANGE IN,45866F104,2086958,335248933,DFND
IQVIA HLDGS INC,46266C105,753437,178541966,DFND
IQVIA HLDGS INC,46266C105,1086690,257512929,DFND
LIVE NATION ENTERTAINMENT IN,538034109,1212794,132788815,DFND
LIVE NATION ENTERTAINMENT IN,538034109,1748726,191468010,DFND
MICROSOFT CORP,594918104,789011,339511433,DFND
MICROSOFT CORP,594918104,547260,235485978,DFND
MOODYS CORP,615369105,193104,91645227,DFND
MOODYS CORP,615369105,278441,132145314,DFND
ORACLE CORP,68389X105,373225,63597540,DFND
ORACLE CORP,68389X105,539159,91872694,DFND
S&P GLOBAL INC,78409V104,761297,393301256,DFND
S&P GLOBAL INC,78409V104,1097637,567061227,DFND
SS&C TECHNOLOGIES HLDGS INC,78467J100,2660729,197452699,DFND
SS&C TECHNOLOGIES HLDGS INC,78467J100,1846457,137025574,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1768854,307196874,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1226833,213064087,DFND
TENCENT MUSIC ENTMT GROUP,88034P109,10894036,131273134,DFND
TENCENT MUSIC ENTMT GROUP,88034P109,7562549,91128715,DFND
THERMO FISHER SCIENTIFIC INC,883556102,471777,291827099,DFND
THERMO FISHER SCIENTIFIC INC,883556102,327223,202410331,DFND
TRADEWEB MKTS INC,892672106,704320,87103254,DFND
TRADEWEB MKTS INC,892672106,488450,60406612,DFND
TRIP COM GROUP LTD,89677Q107,1994617,118540088,DFND
TRIP COM GROUP LTD,89677Q107,2873766,170787913,DFND
UBER TECHNOLOGIES INC,90353T100,1647641,123836698,DFND
UBER TECHNOLOGIES INC,90353T100,2375009,178505676,DFND
VISA INC,92826C839,1218843,335120883,DFND
VISA INC,92826C839,845375,232435856,DFND
YUM BRANDS INC,988498101,584541,81666223,DFND
YUM BRANDS INC,988498101,843499,117845245,DFND
ZOETIS INC,98978V103,526781,102922472,DFND
ZOETIS INC,98978V103,759550,148400879,DFND
