Company,CUSIP,Shares,Value,Discretion,PutCall
ADOBE INC,00724F101,500831,192083713,DFND,
ADOBE INC,00724F101,296055,113545974,DFND,
AGILENT TECHNOLOGIES INC,00846U101,1193085,139567083,DFND,
AGILENT TECHNOLOGIES INC,00846U101,2023984,236765648,DFND,
ALCON AG,H01301128,543221,51567970,DFND,
ALCON AG,H01301128,921312,87460148,DFND,
ALPHABET INC,02079K305,1614190,249618342,DFND,
ALPHABET INC,02079K305,2738238,423441124,DFND,
AMERICAN TOWER CORP NEW,03027X100,1188544,258627174,DFND,
AMERICAN TOWER CORP NEW,03027X100,700646,152460570,DFND,
ANALOG DEVICES INC,032654105,1408914,284135686,DFND,
ANALOG DEVICES INC,032654105,830547,167496413,DFND,
AON PLC,G0403H108,476022,189975620,DFND,
AON PLC,G0403H108,807526,322275551,DFND,
APPLIED MATLS INC,038222105,1138710,165249595,DFND,
APPLIED MATLS INC,038222105,1931720,280331206,DFND,
BLACKROCK INC,09290D101,196935,186395039,DFND,
BLACKROCK INC,09290D101,270919,256419415,DFND,
BROADCOM INC,11135F101,3967911,664347339,DFND,
BROADCOM INC,11135F101,2338963,391612575,DFND,
CANADIAN PACIFIC KANSAS CITY,13646K108,1340114,94089404,DFND,
CANADIAN PACIFIC KANSAS CITY,13646K108,2273278,159606848,DFND,
CBRE GROUP INC,12504L109,2897602,378948390,DFND,
CBRE GROUP INC,12504L109,1708163,223393557,DFND,
CME GROUP INC,12572Q105,602375,159804064,DFND,
CME GROUP INC,12572Q105,1021831,271081546,DFND,
ECOLAB INC,278865100,418011,105974149,DFND,
ECOLAB INC,278865100,709065,179762159,DFND,
ENTEGRIS INC,29362U104,1596825,139690251,DFND,
ENTEGRIS INC,29362U104,941350,82349298,DFND,
EQUIFAX INC,294429105,1119896,272761870,DFND,
EQUIFAX INC,294429105,660171,160791249,DFND,
FASTENAL CO,311900104,1774269,137594561,DFND,
FASTENAL CO,311900104,3009779,233408361,DFND,
FERGUSON ENTERPRISES INC,31488V107,760065,121785215,DFND,
FERGUSON ENTERPRISES INC,31488V107,1289346,206591910,DFND,
FLUTTER ENTMT PLC,G3643J108,867013,192086730,DFND,
FLUTTER ENTMT PLC,G3643J108,1470785,325852417,DFND,
INTERACTIVE BROKERS GROUP IN,45841N107,2072261,343145699,DFND,
INTERACTIVE BROKERS GROUP IN,45841N107,1221565,202278948,DFND,
INTERCONTINENTAL EXCHANGE IN,45866F104,2168419,374052278,DFND,
INTERCONTINENTAL EXCHANGE IN,45866F104,1278277,220502783,DFND,
IQVIA HLDGS INC,46266C105,1261056,222324173,DFND,
IQVIA HLDGS INC,46266C105,743378,131057541,DFND,
LIVE NATION ENTERTAINMENT IN,538034109,1071109,139865413,DFND,
LIVE NATION ENTERTAINMENT IN,538034109,1816963,237259029,DFND,
MICROSOFT CORP,594918104,819809,307748101,DFND,
MICROSOFT CORP,594918104,483281,181418855,DFND,
MOODYS CORP,615369105,170544,79420635,DFND,
MOODYS CORP,615369105,289313,134730171,DFND,
ORACLE CORP,68389X105,329632,46085850,DFND,
ORACLE CORP,68389X105,559163,78176579,DFND,
S&P GLOBAL INC,78409V104,1140469,579472299,DFND,
S&P GLOBAL INC,78409V104,672295,341593090,DFND,
SS&C TECHNOLOGIES HLDGS INC,78467J100,1630813,136221810,DFND,
SS&C TECHNOLOGIES HLDGS INC,78467J100,2766334,231071879,DFND,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1837896,305090736,DFND,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1083440,179851040,DFND,
TENCENT MUSIC ENTMT GROUP,88034P109,11141434,160548064,DFND,
TENCENT MUSIC ENTMT GROUP,88034P109,8098885,116704933,DFND,
THERMO FISHER SCIENTIFIC INC,883556102,334445,166419832,DFND,
THERMO FISHER SCIENTIFIC INC,883556102,567328,282302413,DFND,
TRADEWEB MKTS INC,892672106,731789,108641395,DFND,
TRADEWEB MKTS INC,892672106,431411,64047277,DFND,
TRIP COM GROUP LTD,89677Q107,2071095,131680220,DFND,
TRIP COM GROUP LTD,89677Q107,1505718,95733550,DFND,
UBER TECHNOLOGIES INC,90353T100,3339827,243339795,DFND,
UBER TECHNOLOGIES INC,90353T100,1968632,143434528,DFND,
VISA INC,92826C839,746557,261638366,DFND,
VISA INC,92826C839,1266415,443827801,DFND,
YUM BRANDS INC,988498101,1147871,180628981,DFND,
YUM BRANDS INC,988498101,676693,106484410,DFND,
ZOETIS INC,98978V103,789221,129945238,DFND,
ZOETIS INC,98978V103,465244,76602425,DFND,
