Company,CUSIP,Shares,Value,Discretion,PutCall
ADT INC,00090Q103,10929,95192,SOLE,
ALIBABA GROUP HOLDING LTD,01609W102,1231464,220099561,SOLE,
ALLY FINANCIAL INC,02005N100,636169,24937790,SOLE,
ALPHABET INC,02079K107,632158,153962045,SOLE,
ANALOG DEVICES INC,032654105,302272,74268058,SOLE,
ANGLOGOLD ASHANTI PLC,G0378L100,198513,13963280,SOLE,
ANHEUSER-BUSCH INBEV SA/NV,03524A108,609686,36343399,SOLE,
APPLE INC,037833100,927,236042,SOLE,
APTIV PLC,G3265R107,722843,62323493,SOLE,
ARCELORMITTAL SA,03938L203,586831,21213947,SOLE,
ASTRAZENECA PLC,046353108,1067371,81888708,SOLE,
ATOUR LIFESTYLE HOLDINGS LTD,04965M106,611570,22988916,SOLE,
AXIS CAPITAL HOLDINGS LTD,G0692U109,836861,80171205,SOLE,
B2GOLD CORP,11777Q209,94491,467226,SOLE,
BARCLAYS PLC,06738E204,4352949,89975464,SOLE,
BARRICK MINING CORP,06849F108,15694240,514553395,SOLE,
BIOGEN INC,09062X103,567518,79497885,SOLE,
BP PLC,055622104,1583385,54563433,SOLE,
BRITISH AMERICAN TOBACCO PLC,110448107,458703,24347967,SOLE,
BXP INC,101121101,291507,21670593,SOLE,
CANADIAN PACIFIC KANSAS CITY LTD,13646K108,13522873,1007358393,SOLE,
CARNIVAL CORP,143658300,31912001,922575859,SOLE,
CARRIER GLOBAL CORP,14448C104,1466481,87548857,SOLE,
CELESTICA INC,15101Q207,100670,24778248,SOLE,
CENTERRA GOLD INC,152006102,863377,9251798,SOLE,
CITIGROUP INC,172967424,998078,101304786,SOLE,
CITIZENS FINANCIAL GROUP INC,174610105,1090060,57947524,SOLE,
COGNIZANT TECHNOLOGY SOLUTIONS CORP,192446102,1350178,90556347,SOLE,
CREDICORP LTD,G2519Y108,215628,57417424,SOLE,
DEUTSCHE BANK AG,D18190898,17618765,620200603,SOLE,
DIAGEO PLC,25243Q205,466866,44553043,SOLE,
DR REDDY'S LABORATORIES LTD,256135203,159139,2224763,SOLE,
EVEREST GROUP LTD,G3223R108,175686,61530564,SOLE,
FINVOLUTION GROUP,31810T101,2834783,20892351,SOLE,
FORTUNA MINING CORP,349942102,115867,1037590,SOLE,
GENPACT LTD,G3922B107,1878432,78687453,SOLE,
GERDAU SA,373737105,7189270,22286737,SOLE,
GOLD FIELDS LTD,38059T106,1543015,64744909,SOLE,
GRANITE REAL ESTATE INVESTMENT TRUST,387437205,23700,1317178,SOLE,
GRAPHIC PACKAGING HOLDING CO,388689101,2601576,50912802,SOLE,
GSK PLC,37733W204,1177001,50799344,SOLE,
HDFC BANK LTD,40415F101,385186,13157954,SOLE,
HELLO GROUP INC,423403104,2794347,20734055,SOLE,
ICICI BANK LTD,45104G104,444660,13442072,SOLE,
INFOSYS LTD,456788108,283927,4619492,SOLE,
ING GROEP NV,456837103,1598246,41682255,SOLE,
INGERSOLL RAND INC,45687V106,556229,45955624,SOLE,
ISHARES CHINA LARGE-CAP ETF,464287184,71000,2920940,SOLE,
ISHARES MSCI ACWI ETF,464288257,9427,1303163,SOLE,
ISHARES MSCI EAFE ETF,464287465,4959667,463084144,SOLE,
ISHARES MSCI INDIA ETF,46429B598,1054005,54871500,SOLE,
ISHARES MSCI INDIA SMALL-CAP ETF,46429B614,367520,26358534,SOLE,
ISHARES MSCI SAUDI ARABIA ETF,46434V423,194437,7890253,SOLE,
ISHARES MSCI SOUTH KOREA ETF,464286772,221895,17773790,SOLE,
