Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,41900,5540437,SOLE
ALLY FINL INC,02005N100,225525,8224898,SOLE
ALPHABET INC,02079K107,82390,12871790,SOLE
APPLE INC,037833100,44000,9773720,SOLE
ASSURED GUARANTY LTD,G0585R106,10990,968219,SOLE
BANK AMERICA CORP,060505104,50000,2086500,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,86,68665985,SOLE
CHINA YUCHAI INTL LTD,G21082105,73364,1246455,SOLE
CITIGROUP INC,172967424,57695,4095769,SOLE
CREDIT ACCEP CORP MICH,225310101,262,135284,SOLE
GENERAL MTRS CO,37045V100,52000,2445560,SOLE
GROUPON INC,399473AH0,3000000,3118394,SOLE
HERTZ GLOBAL HLDGS INC,42806J148,1000,2260,SOLE
IMPERIAL OIL LTD,453038408,5000,361176,SOLE
JEFFERIES FINL GROUP INC,47233W109,10987,588574,SOLE
LEAR CORP,521865204,4000,352880,SOLE
LIBERTY GLOBAL LTD,G61188101,12000,138120,SOLE
SIRIUSXM HOLDINGS INC,829933100,702462,15837007,SOLE
LOUISIANA PAC CORP,546347105,5886,541394,SOLE
MAGNA INTL INC,559222401,10000,339900,SOLE
MBIA INC,55262C100,321000,1598580,SOLE
METHANEX CORP,59151K108,4000,140259,SOLE
MOODYS CORP,615369105,5899,2747105,SOLE
OCCIDENTAL PETE CORP,674599105,68000,3356481,SOLE
PATHWARD FINANCIAL INC,59100U108,27389,1998028,SOLE
PAYPAL HLDGS INC,70450Y103,41000,2675250,SOLE
POOL CORP,73278L105,10636,3385971,SOLE
RYANAIR HOLDINGS PLC,783513203,5937,251551,SOLE
STELLANTIS N.V,N82405106,1396388,15653510,SOLE
SUNRISE COMMUNICATIONS AG,867975104,2400,115896,SOLE
SYNCHRONY FINANCIAL,87165B103,215702,11419265,SOLE
VITESSE ENERGY INC,92852X103,1293,31795,SOLE
WELLS FARGO CO NEW,949746101,59542,4274520,SOLE
