Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,41900,5256774,SOLE,
ALLY FINL INC,02005N100,225525,8847349,SOLE,
ALPHABET INC,02079K107,72390,20765795,SOLE,
APPLE INC,037833100,44000,11166760,SOLE,
ASSURED GUARANTY LTD,G0585R106,16990,1384345,SOLE,
ATKORE INC,047649108,8400,494844,SOLE,
BANK AMERICA CORP,060505104,50000,2437500,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,86,61760065,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,3100,1485520,SOLE,
CHINA YUCHAI INTL LTD,G21082105,23364,899515,SOLE,
CITIGROUP INC,172967424,32695,3707942,SOLE,
GENERAL MTRS CO,37045V100,52000,3874001,SOLE,
HP INC,40434L105,26500,509065,SOLE,
IMPERIAL OIL LTD,453038408,5000,654914,SOLE,
JEFFERIES FINL GROUP INC,47233W109,149237,6159014,SOLE,
KRAFT HEINZ CO,500754106,69500,1563055,SOLE,
LOUISIANA PAC CORP,546347105,5886,428207,SOLE,
MAGNA INTL INC,559222401,10000,558100,SOLE,
MBIA INC,55262C100,321000,1897110,SOLE,
METHANEX CORP,59151K108,20000,1191719,SOLE,
MOODYS CORP,615369105,1500,654375,SOLE,
OCCIDENTAL PETE CORP,674599105,313000,20345004,SOLE,
PATHWARD FINANCIAL INC,59100U108,27389,2443922,SOLE,
PAYPAL HLDGS INC,70450Y103,167400,7571505,SOLE,
POOL CORP,73278L105,10636,2151982,SOLE,
RYANAIR HOLDINGS PLC,783513203,5937,343159,SOLE,
SIRIUSXM HOLDINGS INC,829933100,409589,9453319,SOLE,
STELLANTIS N.V,N82405106,1394194,9884838,SOLE,
SYNCHRONY FINANCIAL,87165B103,223202,15182205,SOLE,
WELLS FARGO CO NEW,949746101,59542,4740140,SOLE,
