Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K305,650000,100516000,SOLE
APOLLO GLOBAL MANAGEMENT INC,03769M106,1387000,189935780,SOLE
ASHLAND INC,044186104,1694151,100446213,SOLE
BARINGS BDC INC,06759L103,2643,25214,SOLE
DIAMEDICA THERAPEUTICS INC,25253X207,1625000,6158750,SOLE
ELEVANCE HEALTH INC,036752103,278400,121092864,SOLE
ENERGY TRANSFER LP,29273V100,13000000,241670000,SOLE
ENTERPRISE PRODUCTS PARTNERS,293792107,1191535,40679005,SOLE
FIDELIS INSURANCE HOLDINGS L,G3398L118,4799778,77756404,SOLE
FINANCE OF AMERICA COS INC,31738L206,1202187,25558496,SOLE
FISERV INC,337738108,380000,83915400,SOLE
FRANKLIN TEMPLETON ETF TR,35473P827,5750,213981,SOLE
GANNETT CO INC,36472T109,5097200,14730908,SOLE
ISHARES TR,46434V738,38388,2309038,SOLE
ISHARES INC,464286509,12531,510638,SOLE
ISHARES TR,464287465,57453,4695634,SOLE
ISHARES INC,46434G822,14305,980751,SOLE
ISHARES TR,464286665,7610,335601,SOLE
KBR INC,48242W106,1680000,83680800,SOLE
LAS VEGAS SANDS CORP,517834107,1500000,57945000,SOLE
LITHIA MOTORS INC,536797103,317602,93228891,SOLE
MADISON SQUARE GARDEN SPORTS,55825T103,20000,3894400,SOLE
MANCHESTER UNITED PLC,G5784H106,2839737,37172157,SOLE
MICROSOFT CORP,594918104,105705,39680600,SOLE
MIRION TECHNOLOGIES INC,60471A101,7025000,101862500,SOLE
MOTOROLA SOLUTIONS INC,620076307,110000,48159100,SOLE
MP MATERIALS CORP,553368101,3600000,87876000,SOLE
MR COOPER GROUP INC,62482R107,2860600,342127760,SOLE
ONEMAIN HOLDINGS INC,68268W103,889000,43454320,SOLE
REGAL REXNORD CORP,758750103,725766,82628459,SOLE
SEA LTD,81141R100,326058,42547308,SOLE
SUNOCO LP,86765K109,285000,16547100,SOLE
SUNOPTA INC,8676EP108,6097331,29633029,SOLE
THE CIGNA GROUP,125523100,240655,79175495,SOLE
VANGUARD INTL EQUITY INDEX F,922042874,24693,1733696,SOLE
VANGUARD SCOTTSDALE FDS,92206C706,25028,1486663,SOLE
VANGUARD INDEX FDS,922908363,43593,22402879,SOLE
VANGUARD MUN BD FDS,922907746,12876,638907,SOLE
VERTIV HOLDINGS CO-A,92537N108,2157789,155792366,SOLE
WILLSCOT HOLDINGS CORP,971378104,4031016,112062245,SOLE
