Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,75000,21567000,SOLE,
AMAZON.COM INC,023135106,169500,35301765,SOLE,
AMRIZE LTD,H2627K103,880000,49297600,SOLE,
APOLLO GLOBAL MANAGEMENT INC,03769M106,1337000,148968540,SOLE,
ARBOR REALTY TRUST INC,038923108,1560000,12027600,SOLE,
ASHLAND INC,044186104,1700000,94537000,SOLE,
ATLAS ENERGY SOLUTIONS INC,642045108,4083175,53571256,SOLE,
CAPITAL ONE FINANCIAL CORP,14040H105,370000,67499100,SOLE,
DIAMEDICA THERAPEUTICS INC,25253X207,2020000,13675400,SOLE,
ELEVANCE HEALTH INC,036752103,227900,66717725,SOLE,
ENERGY TRANSFER LP,29273V100,13320100,257077930,SOLE,
ENTERPRISE PRODUCTS PARTNERS,293792107,1373755,51982889,SOLE,
FIDELIS INSURANCE HOLDINGS L,G3398L118,7984348,152580890,SOLE,
FINANCE OF AMERICA COS INC,31738L206,1286068,21348729,SOLE,
FRANKLIN TEMPLETON ETF TR,35473P827,5750,281405,SOLE,
GE HEALTHCARE TECHNOLOGY,36266G107,670000,47690600,SOLE,
HORIZON SPACE ACQUISITION II,G4627B103,1100,242,SOLE,
ISHARES TR,46434V738,38388,2697525,SOLE,
ISHARES INC,464286509,12531,686573,SOLE,
ISHARES TR,464287465,57453,5580410,SOLE,
ISHARES INC,46434G822,20315,1715399,SOLE,
ISHARES INC,464286665,7610,404395,SOLE,
KBR INC,48242W106,2125000,78327500,SOLE,
LITHIA MOTORS INC,536797103,340000,84904800,SOLE,
MANCHESTER UNITED PLC,G5784H106,2932076,49317518,SOLE,
MIRION TECHNOLOGIES INC,60471A101,8383441,155848168,SOLE,
MOTOROLA SOLUTIONS INC,620076307,135000,58585950,SOLE,
MP MATERIALS CORP,553368101,3000000,144780000,SOLE,
ONEMAIN HOLDINGS INC,68268W103,2005000,107247450,SOLE,
ROCKET COS INC,77311W101,21016600,299486550,SOLE,
SEA LTD,81141R100,326058,27000863,SOLE,
SUNOCO LP,86765K109,1620000,105251400,SOLE,
SUNOPTA INC,8676EP108,9300000,60264000,SOLE,
THE CIGNA GROUP,125523100,325000,86693750,SOLE,
USA TODAY CO INC,36472T109,6271961,44217325,SOLE,
VANGUARD INTL EQUITY INDEX F,922042874,24693,2035444,SOLE,
VANGUARD SCOTTSDALE FDS,92206C706,25028,1490417,SOLE,
VANGUARD INDEX FDS,922908363,43593,26048997,SOLE,
VANGUARD MUN BD FDS,922907746,12876,642384,SOLE,
VERTIV HOLDINGS CO,92537N108,2157789,540698768,SOLE,
WILLSCOT HOLDINGS CORP,971378104,4031016,69978438,SOLE,
