Company,CUSIP,Shares,Value,Discretion
AGCO Corporation,001084102,1356659,166896190,SOLE
"Alexandria Real Estate Equities, Inc.",015271109,141657,18261004,SOLE
"Alibaba Group Holding Ltd., ADR",01609W102,182192,13183413,SOLE
"Alphabet Inc., Class A",02079K305,3082282,465208822,SOLE
"Alphabet Inc., Class C",02079K107,671067,102176661,SOLE
"Amazon.com, Inc.",023135106,5765626,1040003618,SOLE
American Express Co.,025816109,766345,174489169,SOLE
American Homes 4 Rent - Class A,02665T306,245470,9028387,SOLE
American Tower Corp,03027X100,66680,13175301,SOLE
"Applied Materials, Inc.",038222105,4660857,961208556,SOLE
"AvalonBay Communities, Inc.",053484101,66120,12269227,SOLE
"Baidu, Inc. Class A, ADR",056752108,47337,4983639,SOLE
Bank of America Corp.,060505104,1197479,45408404,SOLE
Bank of N.T. Butterfield & Son Limited,G0772R208,1085560,34727064,SOLE
Bank of New York Mellon Corp.,064058100,10283435,592531501,SOLE
"Berkshire Hathaway Inc., Class A",084670108,1848,1172445120,SOLE
"Berkshire Hathaway Inc., Class B",084670702,809942,340596810,SOLE
"Boston Properties, Inc.",101121101,154810,10110641,SOLE
"Brixmor Property Group, Inc.",11120U105,615590,14435586,SOLE
Camden Property Trust,133131102,70480,6935232,SOLE
Capital One Financial Corp.,14040H105,9675321,1440558503,SOLE
Carrier Global Corp.,14448C104,229695,13352170,SOLE
Charles Schwab Corp.,808513105,307029,22210478,SOLE
Chubb Ltd.,H1467J104,1262467,327143175,SOLE
Cigna Group,125523100,1453170,527776812,SOLE
"Clear Secure, Inc.",18467V109,588888,12525648,SOLE
"Community Healthcare Trust, Inc.",20369C106,220150,5844983,SOLE
"Coupang, Inc., Class A",22266T109,6008216,106886163,SOLE
"Cousins Properties, Inc.",222795502,682895,16416796,SOLE
"Crown Castle, Inc.",22822V101,41990,4443802,SOLE
CVS Health Corporation,126650100,172743,13777982,SOLE
Darling Ingredients Inc.,237266101,2847011,132414482,SOLE
Davis Select Financial ETF,23908L108,2128485,70919391,SOLE
Davis Select International ETF,23908L405,3866428,74583395,SOLE
Davis Select U.S. Equity ETF,23908L207,3385789,136684291,SOLE
Davis Select Worldwide ETF,23908L306,1916112,62254565,SOLE
"Digital Realty Trust, Inc.",253868103,101965,14687039,SOLE
"Douglas Emmett, Inc",25960P109,256700,3560429,SOLE
"Equinix, Inc.",29444U700,17268,14251798,SOLE
Equity Residential,29476L107,139705,8816783,SOLE
"Essex Property Trust, Inc.",297178105,46311,11337396,SOLE
