Company,CUSIP,Shares,Value,Discretion,PutCall
AGCO Corporation,001084102,2048835,213736210,SOLE,
"Alexandria Real Estate Equities, Inc.",015271109,178127,8717535,SOLE,
"Alphabet Inc., Class A",02079K305,3118760,976174798,SOLE,
"Alphabet Inc., Class C",02079K107,710963,223101674,SOLE,
"Amazon.com, Inc.",023135106,3429262,791545223,SOLE,
American Express Co.,025816109,241700,89416822,SOLE,
American Homes 4 Rent - Class A,02665T306,278610,8943381,SOLE,
American Tower Corp,03027X100,63970,11231213,SOLE,
"ANGI Inc., Class A",00183L201,948993,12270479,SOLE,
"Applied Materials, Inc.",038222105,4201298,1079695847,SOLE,
"AppLovin Corp., Class A",03831W108,247981,167098339,SOLE,
"AvalonBay Communities, Inc.",053484101,78840,14294480,SOLE,
Bank of America Corp.,060505104,1149873,63243015,SOLE,
Bank of N.T. Butterfield & Son Limited,G0772R208,1053710,52495832,SOLE,
Bank of New York Mellon Corp.,064058100,521722,60566667,SOLE,
"Berkshire Hathaway Inc., Class A",084670108,943,711776400,SOLE,
"Berkshire Hathaway Inc., Class B",084670702,739875,371908140,SOLE,
"Brixmor Property Group, Inc.",11120U105,555970,14577533,SOLE,
"BXP, Inc.",101121101,233910,15784247,SOLE,
Camden Property Trust,133131102,86930,9569254,SOLE,
Capital One Financial Corp.,14040H105,8614766,2087878344,SOLE,
Charles Schwab Corp.,808513105,301695,30142347,SOLE,
"Chime Financial, Inc.",16935C109,2472106,62222908,SOLE,
Chubb Ltd.,H1467J104,1186647,370380411,SOLE,
Cigna Group,125523100,752852,207212398,SOLE,
"Community Healthcare Trust, Inc.",20369C106,325560,5345695,SOLE,
ConocoPhillips,20825C104,1797887,168301392,SOLE,
COPT Defense Properties,22002T108,294740,8193772,SOLE,
"Coterra Energy, Inc.",127097103,32537508,856387283,SOLE,
"Cousins Properties, Inc.",222795502,499615,12880075,SOLE,
"Crown Castle, Inc.",22822V101,42160,3746759,SOLE,
"Crown Holdings, Inc.",228368106,8570,882453,SOLE,
CubeSmart,229663109,90930,3278027,SOLE,
CVS Health Corporation,126650100,12760511,1012674950,SOLE,
Darling Ingredients Inc.,237266101,2842306,102323526,SOLE,
Davis Select Financial ETF,23908L108,2130361,102960342,SOLE,
Davis Select International ETF,23908L405,3892451,110934845,SOLE,
Davis Select U.S. Equity ETF,23908L207,3384566,173052858,SOLE,
Davis Select Worldwide ETF,23908L306,1917460,89430314,SOLE,
"Digital Realty Trust, Inc.",253868103,79250,12260768,SOLE,
"Douglas Emmett, Inc",25960P109,309810,3404812,SOLE,
"Eastgroup Properties, Inc.",277276101,51630,9197368,SOLE,
"Equinix, Inc.",29444U700,20773,15915442,SOLE,
Equity Residential,29476L107,104515,6588626,SOLE,
"Essex Property Trust, Inc.",297178105,16511,4320598,SOLE,
"Everest Group, Ltd.",G3223R108,118017,40049069,SOLE,
"Extra Space Storage, Inc.",30225T102,27955,3640300,SOLE,
Fifth Third Bancorp,316773100,2744310,128461151,SOLE,
"Fiserv, Inc.",337738108,568982,38218521,SOLE,
"Full Truck Alliance Co. Ltd., ADR",35969L108,17537524,188177633,SOLE,
"Healthpeak Properties, Inc.",42250P103,435936,7009851,SOLE,
"Hudson Pacific Properties, Inc.",444097406,324026,3509202,SOLE,
IAC Inc.,44891N208,2514072,98300787,SOLE,
iShares S&P 500 Value Index Fund,464287408,127053,26944130,SOLE,
"JBS N.V., Class A",N4732M103,11854741,170945362,SOLE,
"JD.com Inc., Class A, ADR",47215P106,329221,9448643,SOLE,
Johnson Controls International plc,G51502105,209960,25143113,SOLE,
JPMorgan Chase & Co.,46625H100,571586,184176369,SOLE,
"KE Holdings Inc., Class A, ADR",482497104,1851804,29184431,SOLE,
Lam Research Corp.,512807306,12280,2102090,SOLE,
Loews Corp.,540424108,600046,63190844,SOLE,
M & T Bank Corp,55261F104,55846,11251852,SOLE,
"Markel Group, Inc",570535104,415160,892495821,SOLE,
"Meta Platforms, Inc., Class A",30303M102,1752974,1157130854,SOLE,
MGM Resorts International,552953101,26820202,978669323,SOLE,
Microsoft Corp.,594918104,60801,29405634,SOLE,
"Mid-America Apartment Communities, Inc.",59522J103,59380,8248476,SOLE,
NetEase Inc. - ADR,64110W102,426164,58649113,SOLE,
NetSTREIT Corp.,64119V303,189600,3344544,SOLE,
"Noah Holdings Ltd., Class A, ADS",65487X102,1021585,10256713,SOLE,
NVIDIA Corp.,67066G104,111038,20709251,SOLE,
Oracle Corporation,68389X105,79416,15479547,SOLE,
Owens Corning,690742101,2046583,229034800,SOLE,
"Pinterest, Inc., Class A",72352L106,11801983,305553581,SOLE,
"PNC Financial Services Group, Inc.",693475105,530089,110645477,SOLE,
"Prologis, Inc.",74340W103,180126,22994885,SOLE,
"Public Storage, Inc.",74460D109,43520,11293440,SOLE,
Quest Diagnostics Inc.,74834L100,1589883,275895498,SOLE,
Realty Income Corp.,756109104,91390,5151654,SOLE,
Regency Centers Corporation,758849103,136650,9432950,SOLE,
RenaissanceRe Holdings Ltd,G7496G103,229739,64593417,SOLE,
"Restaurant Brands International, Inc.",76131D103,4020791,274339592,SOLE,
"Rexford Industrial Realty, Inc.",76169C100,344830,13351818,SOLE,
"Rocket Companies, Inc., Class A",77311W101,3227910,62492338,SOLE,
SAP SE - ADR,803054204,56347,13688124,SOLE,
"Sea Ltd., Class A, ADR",81141R100,436534,55689027,SOLE,
"Simon Property Group, Inc.",828806109,66183,12251135,SOLE,
Solventum Corp.,83444M101,6220072,492879705,SOLE,
State Street Corp.,857477103,143773,18548155,SOLE,
"Sun Communities, Inc.",866674104,42840,5308304,SOLE,
"Sunstone Hotel Investors, Inc.",867892101,1279610,11439713,SOLE,
"Synopsys, Inc.",871607107,8655,4065427,SOLE,
"Taiwan Semiconductor Manufacturing, ADR",874039100,7200,2188008,SOLE,
"Teck Resources Ltd., Class B",878742204,12019609,575619508,SOLE,
Terreno Realty Corp.,88146M101,117937,6924081,SOLE,
"Texas Instruments, Inc.",882508104,2853227,495008831,SOLE,
"Trip.com Group Ltd., ADR",89677Q107,5053389,363389353,SOLE,
Truist Financial Corp.,89832Q109,192053,9450928,SOLE,
Tyson Foods Inc,902494103,12827540,751950994,SOLE,
U.S. Bancorp,902973304,22041759,1176148497,SOLE,
"UDR, Inc.",902653104,113280,4155110,SOLE,
UnitedHealth Group Inc.,91324P102,1273400,420368751,SOLE,
"Vale S.A., ADR",91912E105,2931198,38193510,SOLE,
"Ventas, Inc.",92276F100,114410,8853046,SOLE,
Viatris Inc.,92556V106,78177984,973315913,SOLE,
"VICI Properties, Inc.",925652109,216240,6080669,SOLE,
Wells Fargo & Co.,949746101,8258031,769649182,SOLE,
"Wesco International, Inc.",95082P105,364502,89172369,SOLE,
