Company,CUSIP,Shares,Value,Discretion
3M Co.,88579Y101,9224,978390,SOLE
Abbott Laboratories,002824100,17857,2029627,SOLE
"AbbVie, Inc.",00287Y109,11006,2004193,SOLE
"Adobe, Inc.",00724F101,21680,10939728,SOLE
"Aegon, Ltd.",0076CA104,125270017,757883603,SOLE
"Afya, Ltd.",G01125106,29183,542220,SOLE
"Air Products & Chemicals, Inc.",009158106,2900,702583,SOLE
"Alibaba Group Holding, Ltd.",01609W102,18074270,1307854177,SOLE
The Allstate Corp.,020002101,2618,452940,SOLE
"Alnylam Pharmaceuticals, Inc.",02043Q107,3811480,569625686,SOLE
"Alpha & Omega Semiconductor, Ltd.",G6331P104,48093,1059970,SOLE
"Alphabet, Inc.",02079K107,30941859,4711207451,SOLE
"Alphabet, Inc.",02079K305,12250918,1849031054,SOLE
"Altria Group, Inc.",02209S103,21000,916020,SOLE
"Amazon.com, Inc.",023135106,17401360,3138857317,SOLE
"American Electric Power Co., Inc.",025537101,11364305,978466661,SOLE
American Express Co.,025816109,428616,97591577,SOLE
"Ameriprise Financial, Inc.",03076C106,1827,801030,SOLE
"Amgen, Inc.",031162100,14382,4089090,SOLE
"Analog Devices, Inc.",032654105,31915,6312468,SOLE
Anheuser-Busch InBev SA/NV,03524A108,31708733,1927256792,SOLE
APA Corp.,03743Q108,79350,2728053,SOLE
"Apple, Inc.",037833100,24356,4176567,SOLE
AstraZeneca PLC,046353108,155285,10520559,SOLE
"Avantor, Inc.",05352A100,63680306,1628305424,SOLE
"Baidu, Inc.",056752108,3783715,398349515,SOLE
Baker Hughes Co.,05722G100,46165024,1546528304,SOLE
Bank of America Corp.,060505104,70889360,2688124513,SOLE
The Bank of New York Mellon Corp.,064058100,55407885,3192602334,SOLE
"Baxter International, Inc.",071813109,27501895,1175430992,SOLE
"Becton, Dickinson & Co.",075887109,980,242501,SOLE
"Berkshire Hathaway, Inc.",084670108,4,2537760,SOLE
"Berkshire Hathaway, Inc.",084670702,12820,5391066,SOLE
"BioMarin Pharmaceutical, Inc.",09061G101,13992943,1222143642,SOLE
"BlackRock, Inc.",09247X101,750,625275,SOLE
"Booking Holdings, Inc.",09857L108,792046,2873447842,SOLE
Boston Scientific Corp.,101137107,97095,6650037,SOLE
"Brighthouse Financial, Inc.",10922N103,8739296,450423316,SOLE
Bristol-Myers Squibb Co.,110122108,16267041,882161633,SOLE
"Broadcom, Inc.",11135F101,4958,6571242,SOLE
"Cadence Design Systems, Inc.",127387108,265065,82509433,SOLE
Capital One Financial Corp.,14040H105,24382817,3630357623,SOLE
Carrier Global Corp.,14448C104,14381701,836008279,SOLE
"Caterpillar, Inc.",149123101,42326,15509516,SOLE
Celanese Corp.,150870103,6826652,1173228413,SOLE
Cemex SAB de CV,151290889,613200,5524932,SOLE
The Charles Schwab Corp.,808513105,86297094,6242731780,SOLE
"Charter Communications, Inc.",16119P108,11563786,3360783125,SOLE
Chevron Corp.,166764100,185338,29235216,SOLE
The Cigna Group,125523100,13127891,4767918732,SOLE
Cintas Corp.,172908105,500,343515,SOLE
"Cisco Systems, Inc.",17275R102,23969309,1196308212,SOLE
The Coca-Cola Co.,191216100,24635,1507169,SOLE
Cognizant Technology Solutions Corp.,192446102,18498499,1355754992,SOLE
Coherent Corp.,19247G107,15098388,915264281,SOLE
Colgate-Palmolive Co.,194162103,14000,1260700,SOLE
Comcast Corp.,20030N101,73143940,3170789799,SOLE
ConocoPhillips,20825C104,11598067,1476201968,SOLE
Copa Holdings SA,P31076105,9350,973896,SOLE
"Corning, Inc.",219350105,55200,1819392,SOLE
"Corteva, Inc.",22052L104,26572,1532407,SOLE
"Credicorp, Ltd.",G2519Y108,5518080,934928294,SOLE
CVS Health Corp.,126650100,41012543,3271160430,SOLE
Danaher Corp.,235851102,16525,4126623,SOLE
Deere & Co.,244199105,13161,5405749,SOLE
"Dell Technologies, Inc.",24703L202,63550,7251691,SOLE
Diageo PLC,25243Q205,13911,2069122,SOLE
"Dominion Energy, Inc.",25746U109,22865698,1124763685,SOLE
"Dow, Inc.",260557103,17931,1038743,SOLE
"DuPont de Nemours, Inc.",26614N102,17583,1348089,SOLE
"eBay, Inc.",278642103,18710,987514,SOLE
EchoStar Corp.,278768106,13656514,194605325,SOLE
"Elanco Animal Health, Inc.",28414H103,83848850,1365059278,SOLE
"Elevance Health, Inc.",036752103,1100,570394,SOLE
Eli Lilly & Co.,532457108,46925,36505773,SOLE
Exxon Mobil Corp.,30231G102,80359,9340930,SOLE
FedEx Corp.,31428X106,13520438,3917411706,SOLE
"Fidelity National Information Services, Inc.",31620M106,41502450,3078651741,SOLE
"Fiserv, Inc.",337738108,34610009,5531371638,SOLE
Flutter Entertainment PLC,G3643J108,624478,123328160,SOLE
Fox Corp.,35137L105,28884776,903226946,SOLE
Fox Corp.,35137L204,11343323,324645904,SOLE
Fresenius Medical Care AG,358029106,4223110,81421561,SOLE
"Gaming & Leisure Properties, Inc.",36467J108,6432387,296340069,SOLE
"The Gap, Inc.",364760108,36133428,995475941,SOLE
"GE HealthCare Technologies, Inc.",36266G107,16813784,1528541103,SOLE
General Electric Co.,369604301,16139821,2833022780,SOLE
"General Mills, Inc.",370334104,11200,783664,SOLE
Genuine Parts Co.,372460105,4675,724298,SOLE
"Geopark, Ltd.",G38327105,76814,737414,SOLE
"Gilead Sciences, Inc.",375558103,33167487,2429518423,SOLE
"The Goldman Sachs Group, Inc.",38141G104,5473633,2286281768,SOLE
Grupo Televisa SAB,40049J206,64212690,205480608,SOLE
GSK PLC,37733W204,68862308,2952127144,SOLE
Haleon PLC,405552100,176953251,1502333101,SOLE
Halliburton Co.,406216101,92402,3642487,SOLE
"HDFC Bank, Ltd.",40415F101,2069342,115821072,SOLE
