Company,CUSIP,Shares,Value,Discretion,PutCall
"ACM Research, Inc.",00108J109,63092,1472567,SOLE,
"QVC Group, Inc.",74915M100,22000,4424,SOLE,
"Chubb, Ltd.",H1467J104,722,218037,SOLE,
Millicom International Cellular SA,L6388F110,8701732,263401428,SOLE,
"Patria Investments, Ltd.",G69451105,19800,223542,SOLE,
Vanguard S&P 500 ETF,922908363,1611,828002,SOLE,
UBS Group AG,H42097107,72608792,2224631412,SOLE,
3M Co.,88579Y101,9196,1350525,SOLE,
Abbott Laboratories,002824100,17324,2298029,SOLE,
"AbbVie, Inc.",00287Y109,10473,2194303,SOLE,
"Adobe, Inc.",00724F101,19900,7632247,SOLE,
"Aegon, Ltd.",0076CA104,117541105,774595882,SOLE,
"Affiliated Managers Group, Inc.",008252108,3000,504090,SOLE,
"Afya, Ltd.",G01125106,31262,560528,SOLE,
"Air Products & Chemicals, Inc.",009158106,8759722,2583417212,SOLE,
"Alibaba Group Holding, Ltd.",01609W102,11319570,1496786741,SOLE,
"Alnylam Pharmaceuticals, Inc.",02043Q107,3351762,905042775,SOLE,
"Alphabet, Inc.",02079K107,17048361,2663465439,SOLE,
"Alphabet, Inc.",02079K305,11595682,1793156264,SOLE,
"Altria Group, Inc.",02209S103,21000,1260420,SOLE,
"Amazon.com, Inc.",023135106,16532632,3145498564,SOLE,
Ambev SA,02319V103,260400,606732,SOLE,
"American Electric Power Co., Inc.",025537101,10811550,1181378069,SOLE,
American Express Co.,025816109,374172,100670977,SOLE,
"Ameriprise Financial, Inc.",03076C106,1827,884469,SOLE,
"Amgen, Inc.",031162100,13532,4215895,SOLE,
"Analog Devices, Inc.",032654105,31085,6268912,SOLE,
Anheuser-Busch InBev SA/NV,03524A108,41116138,2531109455,SOLE,
APA Corp.,03743Q108,41600,874432,SOLE,
"Apple, Inc.",037833100,27144,6029497,SOLE,
"Arcos Dorados Holdings, Inc.",G0457F107,106000,854360,SOLE,
AstraZeneca PLC,046353108,136140,10006290,SOLE,
"Avantor, Inc.",05352A100,100262723,1625258740,SOLE,
"Baidu, Inc.",056752108,5440815,500718204,SOLE,
Baker Hughes Co.,05722G100,44655095,1962591425,SOLE,
Bancolombia SA,05968L102,20946,842029,SOLE,
Bank of America Corp.,060505104,21004922,876535378,SOLE,
"Baxter International, Inc.",071813109,51458925,1761439003,SOLE,
"Becton, Dickinson & Co.",075887109,980,224479,SOLE,
"Berkshire Hathaway, Inc.",084670702,12740,6785069,SOLE,
"Berkshire Hathaway, Inc.",084670108,4,3193766,SOLE,
"BioMarin Pharmaceutical, Inc.",09061G101,14955240,1057185916,SOLE,
"Blackrock, Inc.",09290D101,655,619944,SOLE,
