Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K107,451618,75506013,SOLE
APPLOVIN CORP,03831W108,698796,91227818,SOLE
AUTOZONE INC,053332102,29458,92793878,SOLE
DANAHER CORPORATION,235851102,297492,82708726,SOLE
HERC HLDGS INC,42704L104,426060,67926746,SOLE
META PLATFORMS INC,30303M102,232669,133189042,SOLE
PAYPAL HLDGS INC,70450Y103,1162523,90711670,SOLE
SEMRUSH HLDGS INC,81686C104,2113947,33210107,SOLE
SMARTSHEET INC,83200N103,1493286,82668313,SOLE
SPROUT SOCIAL INC,85209W109,1975994,57442146,SOLE
UPWORK INC,91688F104,2647145,27662665,SOLE
WIX COM LTD,M98068105,553894,92594460,SOLE
