Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,639218,121732676,SOLE,
AUTOZONE INC,053332102,37570,120299140,SOLE,
DANAHER CORPORATION,235851102,394791,90624274,SOLE,
HERC HLDGS INC,42704L104,272903,51668725,SOLE,
META PLATFORMS INC,30303M102,208247,121930701,SOLE,
PAYPAL HLDGS INC,70450Y103,1301183,111055969,SOLE,
SEMRUSH HLDGS INC,81686C104,2258481,26830754,SOLE,
SMARTSHEET INC,83200N103,1447727,81116144,SOLE,
SPROUT SOCIAL INC,85209W109,2306149,70821836,SOLE,
UPWORK INC,91688F104,3045142,49788072,SOLE,
WIX COM LTD,M98068105,578741,124168882,SOLE,
