Company,CUSIP,Shares,Value,Discretion
Alphabet Inc,02079K305,76680,14516,DFND
Amazon Com Inc,023135106,328400,72048,DFND
American Airl,02376R102,919928,16034,DFND
American Airl,02376R102,2573500,44856,DFND
Ameris Bancorp,03076K108,154000,9636,DFND
Arcellx Inc,03940C100,74100,5683,DFND
Arm Holdings Plc,042068205,178394,22007,DFND
Ascendis Pharma A/S,04351P101,265040,36488,DFND
Banco Macro Sa,05961W105,485430,46970,DFND
Barclays Plc,06738E204,3186855,42353,DFND
Brookfield Corp,11271J107,610225,35057,DFND
Bwx Technologies Inc,05605H100,299171,33325,DFND
Citigroup Inc,172967424,72655,5114,DFND
Coherent Corp,19247G107,2820930,267227,DFND
Coupang Inc,22266T109,8902649,195680,DFND
Crinetics Pharmaceuticals In,22663K107,122700,6274,DFND
Daktronics Inc,234264109,2625105,44259,DFND
Delta Air Lines Inc Del,247361702,817740,49473,DFND
Delta Air Lines Inc Del,247361702,949500,57445,DFND
Discover Finl Svcs,254709108,146970,25460,DFND
E L F Beauty Inc,26856L103,37300,4683,DFND
Eli Lilly & Co,532457108,62190,48011,DFND
First Ctzns Bancshares Inc N,31946M103,5183,10952,DFND
First Horizon Corporation,320517105,619700,12481,DFND
Flex Ltd,Y2573F102,348900,13394,DFND
Flutter Entmt Plc,G3643J108,18100,4678,DFND
Freeport-Mcmoran Inc,35671D857,758905,28899,DFND
Ge Vernova Inc,36828A101,99750,32811,DFND
Global X Fds,37950E259,548800,45369,DFND
Grupo Financiero Galicia S.A,399909100,448663,27961,DFND
Huntington Bancshares Inc,446150104,671200,10920,DFND
Insmed Inc,457669307,593470,40973,DFND
Invivyd Inc,00534A102,571425,253,DFND
Iqvia Hldgs Inc,46266C105,21500,4225,DFND
Joby Aviation Inc,G65163100,31489,256,DFND
Keycorp,493267108,527000,9033,DFND
Kinder Morgan Inc Del,49456B101,2225300,60973,DFND
Live Nation Entertainment In,538034109,79635,10313,DFND
Mercadolibre Inc,58733R102,53725,91356,DFND
Micron Technology Inc,595112103,408885,34412,DFND
Mirion Technologies Inc,60471A101,342700,5980,DFND
Natera Inc,632307104,3566850,564632,DFND
Newamsterdam Pharma Company,N62509109,287535,7390,DFND
Nu Hldgs Ltd,G6683N103,467255,4841,DFND
Nvent Electric Plc,G6700G107,451065,30745,DFND
Palantir Technologies Inc,69608A108,41710,3155,DFND
Palo Alto Networks Inc,697435105,87424,15908,DFND
Philip Morris Intl Inc,718172109,1352255,162744,DFND
Purecycle Technologies Inc,74623V103,1592500,16323,DFND
Seagate Technology Hldngs Pl,G7997R103,1564076,134995,DFND
Seagate Technology Hldngs Pl,G7997R103,509500,43975,DFND
Skechers U S A Inc,830566105,1074840,72272,DFND
Slm Corp,78442P106,2520275,69509,DFND
Spdr Ser Tr,78464A698,554138,33442,DFND
Springworks Therapeutics Inc,85205L107,859694,31061,DFND
Sunrise Communications Ag Ads,867975104,133152,5736,DFND
Taiwan Semiconductor Mfg Ltd,874039100,107515,21233,DFND
Teck Resources Ltd,878742204,431545,17491,DFND
Terawulf Inc,88080T104,1472225,8333,DFND
Tesla Inc,88160R101,37675,15215,DFND
Teva Pharmaceutical Inds Ltd,881624209,8997400,198303,DFND
Trisalus Life Sciences Inc,89680M101,426921,2139,DFND
Truist Finl Corp,89832Q109,233500,10129,DFND
Ultragenyx Pharmaceutical In,90400D108,85445,3595,DFND
United Airls Hldgs Inc,910047109,1043805,101353,DFND
United Airls Hldgs Inc,910047109,226000,21945,DFND
United States Stl Corp,912909108,1610040,54725,DFND
Us Bancorp Del,902973304,503595,24087,DFND
Vaxcyte Inc,92243G108,86265,7062,DFND
Verona Pharma Plc,925050106,887580,41219,DFND
Vistra Corp,92840M102,283355,39066,DFND
Wabtec,929740108,280060,53097,DFND
Warner Bros Discovery Inc,934423104,4657650,49231,DFND
Wells Fargo Co New,949746101,157100,11035,DFND
Western Digital Corp,958102105,417160,24875,DFND
Woodward Inc,980745103,1225750,203989,DFND
Ypf Sociedad Anonima,984245100,1687716,71745,DFND
Zoominfo Technologies Inc,98980F104,1761926,18518,DFND
