Company,CUSIP,Shares,Value,Discretion
ACADIA HEALTHCARE COMPANY IN,00404A109,2217791,149789604,SOLE
ALIGNMENT HEALTHCARE INC,01625V104,3980949,31131021,SOLE
ATLASSIAN CORPORATION,049468101,1389703,245810667,SOLE
AURORA INNOVATION INC,051774107,13606038,37688725,SOLE
AVANTOR INC,05352A100,6037845,128002314,SOLE
BIRKENSTOCK HOLDING PLC,M2029K104,3123640,169957252,SOLE
BOOKING HOLDINGS INC,09857L108,130497,516963866,SOLE
BRIGHT HORIZONS FAM SOL IN D,109194100,5450019,599938092,SOLE
CARVANA CO,146869102,840131,108141662,SOLE
CHEMED CORP NEW,16359R103,550204,298529686,SOLE
CLEAR SECURE INC,18467V109,1510316,28258012,SOLE
COLLIERS INTL GROUP INC,194693107,2137705,238674763,SOLE
COPART INC,217204106,4857125,263061890,SOLE
COUPANG INC,22266T109,22527909,471959694,SOLE
DATADOG INC,23804L103,858880,111388147,SOLE
DESCARTES SYS GROUP INC,249906108,3455887,334668097,SOLE
DOXIMITY INC,26622P107,6218067,173919334,SOLE
DUOLINGO INC,26603R106,2943622,614245603,SOLE
ENTEGRIS INC,29362U104,1209401,163752895,SOLE
FIRSTSERVICE CORP NEW,33767E202,3534869,538607990,SOLE
GOOSEHEAD INS INC,38267D109,38256,2197425,SOLE
GRACO INC,384109104,1182481,93747094,SOLE
HUBSPOT INC,443573100,819106,483100528,SOLE
HUNT J B TRANS SVCS INC,445658107,1096496,175439360,SOLE
INGERSOLL RAND INC,45687V106,1201176,109114828,SOLE
INTUIT,461202103,1416101,930675738,SOLE
LIFESTANCE HEALTH GROUP INC,53228F101,12395085,60859867,SOLE
MOLINA HEALTHCARE INC,60855R100,651327,193639517,SOLE
MONDAY COM LTD,M7S64H106,859813,207008578,SOLE
MSCI INC,55354G100,316599,152521568,SOLE
OLD DOMINION FREIGHT LINE IN,679580100,1060816,187340106,SOLE
PRIVIA HEALTH GROUP INC,74276R102,9090909,157999998,SOLE
PTC INC,69370C100,710316,129043108,SOLE
RBC BEARINGS INC,75524B104,2392576,645469153,SOLE
RH,74967X103,885048,216341133,SOLE
ROLLINS INC,775711104,3415400,166637366,SOLE
ROPER TECHNOLOGIES INC,776696106,1268797,715170117,SOLE
SAIA INC,78709Y105,145447,68984058,SOLE
SHIFT4 PMTS INC,82452J109,4968955,364472849,SOLE
SHOPIFY INC,82509L107,2794802,184596672,SOLE
SS&C TECHNOLOGIES HLDGS INC,78467J100,3717692,232987758,SOLE
SURGERY PARTNERS INC,86881A100,2881227,68544390,SOLE
TOAST INC,888787108,18174146,468347742,SOLE
TORO CO,891092108,1878515,175659938,SOLE
VEEVA SYS INC,922475108,1177095,215420156,SOLE
VSE CORP,918284100,305860,27001321,SOLE
WARBY PARKER INC,93403J106,6851967,110042590,SOLE
WASTE CONNECTIONS INC,94106B101,411641,72185366,SOLE
WEST PHARMACEUTICAL SVSC INC,955306105,1040524,342738200,SOLE
