Company,CUSIP,Shares,Value,Discretion,PutCall
ACUITY INC,00508Y102,1249899,372894868,SOLE,
AFFIRM HLDGS INC,00827B106,7389337,510898760,SOLE,
API GROUP CORP,00187Y100,10623568,542333146,SOLE,
APPLOVIN CORP,03831W108,187836,65757627,SOLE,
AURORA INNOVATION INC,051774107,20404238,106918207,SOLE,
BOOKING HOLDINGS INC,09857L108,37306,215973387,SOLE,
CARVANA CO,146869102,892477,300729050,SOLE,
CLEAR SECURE INC,18467V109,7490351,207932144,SOLE,
COLLIERS INTL GROUP INC,194693107,3625501,473272901,SOLE,
COUPANG INC,22266T109,24743982,741329701,SOLE,
DESCARTES SYS GROUP INC,249906108,2253704,229077743,SOLE,
DOORDASH INC,25809K105,1026649,253079245,SOLE,
DUOLINGO INC,26603R106,1073356,440097427,SOLE,
ENTEGRIS INC,29362U104,3055914,246459464,SOLE,
ESAB CORPORATION,29605J106,1385176,166982967,SOLE,
EVOLENT HEALTH INC,30050B101,6423293,72326279,SOLE,
FIRSTSERVICE CORP NEW,33767E202,1963565,342877720,SOLE,
FLOOR & DECOR HLDGS INC,339750101,1398378,106220793,SOLE,
FLUTTER ENTMT PLC,G3643J108,332481,95009771,SOLE,
GOOSEHEAD INS INC,38267D109,680812,71832474,SOLE,
HUBSPOT INC,443573100,600539,334278024,SOLE,
INTUIT,461202103,782292,616156648,SOLE,
ISHARES TR,464287655,2596668,560334988,SOLE,
MASIMO CORP,574795100,1163898,195790922,SOLE,
MERCADOLIBRE INC,58733R102,147984,386775422,SOLE,
MOLINA HEALTHCARE INC,60855R100,535967,159664569,SOLE,
MONDAY COM LTD,M7S64H106,189684,59651824,SOLE,
OPTION CARE HEALTH INC,68404L201,8237577,267556501,SOLE,
OUTSET MED INC,690145206,1657126,31833390,SOLE,
PRIVIA HEALTH GROUP INC,74276R102,11487843,264220389,SOLE,
PTC INC,69370C100,278710,48032881,SOLE,
RBC BEARINGS INC,75524B104,2521043,970097346,SOLE,
RH,74967X103,646097,122118794,SOLE,
ROBLOX CORP,771049103,4588728,482734186,SOLE,
ROPER TECHNOLOGIES INC,776696106,329709,186892250,SOLE,
SHIFT4 PMTS INC,82452J109,6665443,660612056,SOLE,
SHOPIFY INC,82509L107,4543835,524131367,SOLE,
SWEETGREEN INC,87043Q108,2137996,31813380,SOLE,
TOAST INC,888787108,10245724,453783116,SOLE,
VEEVA SYS INC,922475108,976981,281350988,SOLE,
VSE CORP,918284100,865017,113299927,SOLE,
WARBY PARKER INC,93403J106,9597808,210479929,SOLE,
WEST PHARMACEUTICAL SVSC INC,955306105,1040648,227693782,SOLE,
XPO INC,983793100,3595056,454019622,SOLE,
