Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K107,3240911,594447896,DFND
AMAZON COM INC,023135106,3895405,752787016,DFND
ARCH CAP GROUP LTD,G0450A105,3233380,326215708,DFND
BOOKING HOLDINGS INC,09857L108,111127,440229611,DFND
CANADIAN NATL RY CO,136375102,4066666,480395255,DFND
CANADIAN PACIFIC KANSAS CITY,13646K108,9236561,727194448,DFND
CENOVUS ENERGY INC,15135U109,10322992,202950023,DFND
CRH PLC,G25508105,3940353,295447668,DFND
FIRST CTZNS BANCSHARES INC N,31946M103,283228,476845493,DFND
FIRST SOLAR INC,336433107,709838,160040075,DFND
FISERV INC,337738108,2736740,407883730,DFND
FLUTTER ENTMT PLC,G3643J108,1041284,189888550,DFND
GE AEROSPACE,369604301,2373275,377279527,DFND
GE HEALTHCARE TECHNOLOGIES I,36266G107,7357885,573326399,DFND
GE VERNOVA INC,36828A101,784508,134550967,DFND
HILTON WORLDWIDE HLDGS INC,43300A203,493549,107692392,DFND
ICICI BANK LIMITED,45104G104,5540979,159635605,DFND
INTERACTIVE BROKERS GROUP IN,45841N107,3133370,384151162,DFND
MASTERCARD INCORPORATED,57636Q104,422573,186422305,DFND
META PLATFORMS INC,30303M102,1339665,675485886,DFND
MICROSOFT CORP,594918104,1489464,665715935,DFND
PROGRESSIVE CORP,743315103,1541378,320159624,DFND
RENAISSANCERE HLDGS LTD,G7496G103,1859926,415712060,DFND
SHARKNINJA INC,G8068L108,657047,49377082,DFND
UBER TECHNOLOGIES INC,90353T100,1785119,129742449,DFND
VISA INC,92826C839,2554148,670387226,DFND
