Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,3459649,992434912,DFND,
AMAZON COM INC,023135106,2363334,492211572,DFND,
AMPHENOL CORP,032095101,2871353,362795452,DFND,
ARCH CAP GROUP LTD,G0450A105,1116922,107213343,DFND,
ARMSTRONG WORLD INDS INC NEW,04247X102,448036,73836333,DFND,
CANADIAN NAT RES LTD MED TER,136385101,5690211,277056374,DFND,
CARPENTER TECHNOLOGY CORP,144285103,1330920,524582118,DFND,
CME GROUP INC,12572Q105,1182907,349371582,DFND,
CRH PLC,G25508105,2759331,290060875,DFND,
DEVON ENERGY CORP NEW,25179M103,6525140,328345045,DFND,
EMBRAER S.A.,29082A107,2975231,176550208,DFND,
FERGUSON ENTERPRISES INC,31488V107,634258,147947021,DFND,
INTERACTIVE BROKERS GROUP IN,45841N107,6275179,420876256,DFND,
LAMAR ADVERTISING CO,512816109,1088744,137900315,DFND,
LINDE PLC,G54950103,1068371,529655607,DFND,
MASTERCARD INCORPORATED,57636Q104,459652,229669718,DFND,
MEDLINE INC,58507V107,4365802,194278189,DFND,
MOODYS CORP,615369105,1545670,674298538,DFND,
NEW YORK TIMES CO MTN BE,650111107,971884,81375847,DFND,
NVIDIA CORPORATION,67066G104,2675018,466523139,DFND,
RENAISSANCERE HLDGS LTD,G7496G103,317308,94313457,DFND,
UBER TECHNOLOGIES INC,90353T100,4652363,334644471,DFND,
VISA INC,92826C839,4110970,1242499573,DFND,
VULCAN MATLS CO,929160109,1769216,481757517,DFND,
