Company,CUSIP,Shares,Value,Discretion
BRC INC,05601U105,12851018,78776740,OTR
ENVESTNET INC,29404K106,692483,43342511,OTR
EVOLENT HEALTH INC,30050B101,4111458,78611077,OTR
NCR ATLEOS CORPORATION,63001N106,2509256,67800097,OTR
NCR VOYIX CORPORATION,62886E108,6286029,77632458,OTR
NEVRO CORP,64157F103,1885956,15879750,OTR
PORTILLOS INC,73642K106,2760443,26831506,OTR
PRA GROUP INC,69354N106,1703512,33491046,OTR
SHAKE SHACK INC,819047101,266883,24019470,OTR
SMARTSHEET INC,83200N103,671496,29599544,OTR
UPBOUND GROUP INC,76009N100,1167051,35828466,OTR
V F CORP,918204108,5341368,72108468,OTR
