Company,CUSIP,Shares,Value,Discretion
ATS CORP,00217Y104,2486400,64134644,DFND
BANK OF NOVA SCOTIA,064149107,359100,23209184,DFND
BERKSHIRE HATHAWAY INC,084670108,1,753100,DFND
BLACKBERRY LTD,09228F103,35395320,172375208,DFND
BRIGHTSTAR LOTTERY PLC,G4863A108,36633,631919,DFND
CAPRI HOLDINGS LTD,G1890L107,78100,1554971,DFND
CLEVELAND-CLIFFS INC,185899101,14899273,181771131,DFND
COLLIERS INTL GROUP INC,194693107,22000,3400244,DFND
CVS HEALTH CORP,126650100,2712000,204376320,DFND
DOLLAR TREE INC,256746108,44380,4185922,DFND
FRANCO-NEVADA CORP,351858105,16800,3738767,DFND
GARRETT MOTION INC,366505105,301860,4108315,DFND
GENERAL MOTORS CO,37045V100,375965,22915067,DFND
HELMERICH & PAYNE INC,423452101,1174105,25947721,DFND
JOHNSON & JOHNSON,478160104,73400,13607626,DFND
KENNEDY-WILSON HOLDINGS INC,489398107,13322009,110839115,DFND
KKR & CO INC,48251W104,20000,2598000,DFND
KRAFT HEINZ CO,500754106,5119000,133247570,DFND
LULULEMON ATHLETICA INC,550021109,25000,4445500,DFND
MAGNACHIP SEMICONDUCTOR CORP,55933J203,125000,391250,DFND
MERCK & CO INC,58933Y105,172900,14508039,DFND
MOLSON COORS BEVERAGE CO,60871R209,1290071,58362812,DFND
OCCIDENTAL PETROLEUM CORP,674599105,6050418,285942755,DFND
ORLA MINING LTD,68634K106,56817229,610476911,DFND
PENN ENTERTAINMENT INC,707569109,54900,1056825,DFND
PFIZER INC,717081103,890900,22691223,DFND
TAIWAN SEMICONDUCTOR MFG LTD,874039100,93700,26162914,DFND
UNDER ARMOUR INC,904311107,6311800,31495882,DFND
VANGUARD INDEX FUNDS,922908363,58248,35666998,DFND
