Company,CUSIP,Shares,Value,Discretion,PutCall
ATS CORP,00217Y104,2486400,70487018,DFND,
BANK NOVA SCOTIA,064149107,359100,31165804,DFND,
BERKSHIRE HATHAWAY INC,084670108,1,748836,DFND,
BRIGHTSTAR LOTTERY PLC,G4863A108,68733,737505,DFND,
CANADIAN NATIONAL RAILWAY CO,136375102,24800,2952402,DFND,
CAPRI HOLDINGS LTD,G1890L107,78100,1450317,DFND,
CEMENTOS PACASMAYO SAA,15126Q208,50000,594500,DFND,
CLEVELAND-CLIFFS INC,185899101,14899273,139904173,DFND,
COLLIERS INTL GROUP INC,194693107,25000,2325991,DFND,
CVS HEALTH CORP,126650100,2712000,280502160,DFND,
DOMINO'S PIZZA INC,25754A201,7230,2139502,DFND,
ELDORADO GOLD CORP,284902509,13746506,427001600,DFND,
ELECTRONIC ARTS INC,285512109,5100,1045449,DFND,
GARRETT MOTION INC,366505105,102783,3722800,DFND,
GENERAL MOTORS CO,37045V100,375965,28971863,DFND,
HELMERICH & PAYNE INC,423452101,1174105,38451939,DFND,
JOHNSON & JOHNSON,478160104,73400,18640664,DFND,
KASPI KZ JSC,48581R205,106000,9175360,DFND,
KRAFT HEINZ CO,500754106,14306500,337633400,DFND,
LULULEMON ATHLETICA INC,550021109,12500,1426750,DFND,
MAGNACHIP SEMICONDUCTOR CORP,55933J203,62500,296250,DFND,
MERCK & CO INC,58933Y105,172900,22198631,DFND,
MOLSON COORS BEVERAGE CO,60871R209,1994500,77665830,DFND,
ORLA MINING LTD,68634K106,58399504,568456141,DFND,
PENN ENTERTAINMENT INC,707569109,54900,1173762,DFND,
PFIZER INC,717081103,1043900,25116234,DFND,
ROGERS COMMUNICATIONS INC,775109200,150200,4870979,DFND,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,93700,44684593,DFND,
WENDYS CO,95058W100,8005627,66286592,DFND,
UNDER ARMOUR INC,904311107,45356965,289831006,DFND,
UNDER ARMOUR INC,904311206,21999128,136614585,DFND,
WARNER BROS DISCOVERY INC,934423104,81900,2179359,DFND,
