Company,CUSIP,Shares,Value,Discretion
APPLE INC,037833100,2400,611112,SOLE
BANK OZK,06417N103,915652,46679949,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,1,754200,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,48437,24351217,SOLE
CORE NATURAL RESOURCES INC,218937100,5000,417400,SOLE
DIAMONDBACK ENERGY INC,25278X109,4000,572400,SOLE
ENERGY TRANSFER L P,29273V100,166600,2858856,SOLE
ENTERPRISE PRODS PARTNERS L,293792107,5450400,170434008,SOLE
EOG RES INC,26875P101,2000,224240,SOLE
OCCIDENTAL PETE CORP,674599105,69100,3264975,SOLE
ST JOE CO,790148100,19578367,968737599,SOLE
WR BERKLEY CORP,084423102,261450,20032299,SOLE
