Company,CUSIP,Shares,Value,Discretion,PutCall
APPLE INC,037833100,2400,609096,SOLE,
BANK OZK,06417N103,921252,42276263,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,2,1436280,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,50452,24176598,SOLE,
ENTERPRISE PRODS PARTNERS L,293792107,5455800,206447472,SOLE,
HOME BANCSHARES INC,436893200,12100,325853,SOLE,
KRAFT HEINZ CO,500754106,105300,2368197,SOLE,
PROGRESSIVE CORP,743315103,66400,13163136,SOLE,
ST JOE CO,790148100,19210167,1206398488,SOLE,
WR BERKLEY CORP,084423102,256350,16990878,SOLE,
