Company,CUSIP,Shares,Value,Discretion
908 DEVICES INC,65443P102,267378,1906405,SOLE
AAR CORP,000361105,52870,3636927,SOLE
ACCENTURE PLC IRELAND,G1151C101,2597,776217,SOLE
ACCO BRANDS CORP,00081T108,863769,3092293,SOLE
ADAPTHEALTH CORP,00653Q102,729636,6880467,SOLE
ADTRAN HOLDINGS INC,00486H105,1133607,10168455,SOLE
ADVANCED ENERGY INDS,007973100,119883,15884498,SOLE
ADVANSIX INC,00773T101,222024,5273070,SOLE
AGNICO EAGLE MINES LTD,008474108,5271369,628437602,SOLE
AIR LEASE CORP,00912X302,454,26554,SOLE
AIR LEASE CORP,00912X302,239923,14033096,SOLE
AIRGAIN INC,00938A104,522230,2182921,SOLE
ALAMOS GOLD INC NEW,011532108,6241116,166108366,SOLE
ALIGN TECHNOLOGY INC,016255101,19,3597,SOLE
ALIGN TECHNOLOGY INC,016255101,976,184786,SOLE
ALPHA & OMEGA SEMICONDUCTOR,G6331P104,329208,8447477,SOLE
ALPHABET INC,02079K107,125490,22260758,SOLE
ALPHABET INC,02079K107,7386087,1310217973,SOLE
ALPHABET INC,02079K305,59,10398,SOLE
ALPHABET INC,02079K305,3280572,578135204,SOLE
ALPHATEC HLDGS INC,02081G201,708437,7863651,SOLE
ALTA EQUIPMENT GROUP INC,02128L106,792103,5006091,SOLE
ALTISOURCE PORTFOLIO SOLUTIO,L0175J138,469880,4008077,SOLE
AMBEV SA,02319V103,10434203,25146429,SOLE
AMBEV SA,02319V103,328227666,791028675,SOLE
AMERESCO INC,02361E108,753807,11450328,SOLE
AMERICAN EXPRESS CO,025816109,24159,7706375,SOLE
AMERICAN EXPRESS CO,025816109,1907781,608543983,SOLE
AMERICAN WOODMARK CORPORATIO,030506109,132300,7060851,SOLE
AMERICAN WTR WKS CO INC NEW,030420103,454,63156,SOLE
AMERIS BANCORP,03076K108,181558,11746803,SOLE
AMTECH SYS INC,032332504,800382,3553696,SOLE
ANALOG DEVICES INC,032654105,35712,8500215,SOLE
