Company,CUSIP,Shares,Value,Discretion,PutCall
DIAGEO PLC,25243Q205,1,80,SOLE,
CARLISLE COS INC,142339100,2632,954758,SOLE,
BAIDU INC,056752108,3421,390986,SOLE,
ISHARES TR,46435U473,3727,174312,SOLE,
SOUTHERN COPPER CORP,84265V105,7126,1241777,SOLE,
WILLIS LEASE FIN CORP,970646105,11443,2618158,SOLE,
NETFLIX INC.,64110L106,16400,1170960,SOLE,
MARRIOTT INTL INC NEW,571903202,18445,6835533,SOLE,
PAR PAC HOLDINGS INC,69888T207,23720,1330218,SOLE,
UNITI GROUP LLC,912932100,25235,289445,SOLE,
VANGUARD INTL EQUITY INDEX F,922042742,33151,5203049,SOLE,
ALLEGIANT TRAVEL CO,01748X102,34186,4020274,SOLE,
ECHOSTAR CORP,278768106,47000,4770500,SOLE,Put
ECHOSTAR CORP,278768106,47066,4777199,SOLE,
NCR ATLEOS CORPORATION,63001N106,50033,2171933,SOLE,
UPWORK INC,91688F104,57081,477197,SOLE,
BROADCOM INC,11135F101,63167,23861334,SOLE,
TIDEWATER INC NEW,88642R109,76423,5092064,SOLE,
MARSH & MCLENNAN COS INC,571748102,121213,20202571,SOLE,
RUSH ENTERPRISES INC,781846209,129094,9421926,SOLE,
INVESTMENT MANAGERS SER TR I,30254T577,145470,5839733,SOLE,
INVESTMENT MANAGERS SER TR I,30254T478,146775,3626018,SOLE,
PIONEER BANCORP INC MD,723561106,166974,2850246,SOLE,
PONCE FINANCIAL GROUP INC,732344106,181562,3620346,SOLE,
WABTEC,929740108,189045,50966532,SOLE,
AERSALE CORPORATION,00810F106,208726,1319148,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,248244,124459612,SOLE,
VANGUARD INSTL INDEX FD,922040845,260280,19697990,SOLE,
WATERS CORP,941848103,268164,100572227,SOLE,
EQUIPMENTSHARE COM INC,29445S100,285714,5617137,SOLE,
RESERVOIR MEDIA INC,76119X105,308747,3053508,SOLE,
LPL FINL HLDGS INC,50212V100,321244,90488010,SOLE,
INTUIT,461202103,331964,86642604,SOLE,
BIO RAD LABS INC,090572207,401861,117990408,SOLE,
ORION S.A.,L72967109,417388,2767282,SOLE,
SAP SE,803054204,555426,85596701,SOLE,
DANAHER CORP DEL,235851102,564781,107579485,SOLE,
ICON PUB LTD CO,G4705A100,606523,105359110,SOLE,
META PLATFORMS INC,30303M102,679884,382971858,SOLE,
AON PLC,G0403H108,681367,226002620,SOLE,
NXP SEMICONDUCTORS N V,N6596X109,688107,193378710,SOLE,
WELLS FARGO & CO,949746101,784923,64866037,SOLE,
FERGUSON ENTERPRISES INC,31488V107,786822,186736465,SOLE,
GE HEALTHCARE TECHNOLOGIES I,36266G107,827379,52960530,SOLE,
MARAVAI LIFESCIENCES HLDGS I,56600D107,884883,5521670,SOLE,
UBER TECHNOLOGIES INC,90353T100,976544,70467415,SOLE,
PG&E CORP,69331C108,1172695,19724730,SOLE,
STAGWELL INC,85256A109,1191918,8855951,SOLE,
VAIL RESORTS INC,91879Q109,1304959,177670168,SOLE,
ALPHABET INC,02079K107,1333205,471061323,SOLE,
GALLAGHER ARTHUR J & CO,363576109,1336290,306772095,SOLE,
AMAZON COM INC,023135106,1360585,324281829,SOLE,
ALPHABET INC,02079K305,1408518,503362078,SOLE,
TE CONNECTIVITY PLC,G87052109,1551105,312718279,SOLE,
ANALOG DEVICES INC,032654105,1598506,634878628,SOLE,
VORNADO RLTY TR,929042109,1683761,66171807,SOLE,
BECTON DICKINSON & CO,075887109,2110794,319426456,SOLE,
PAYPAL HLDGS INC,70450Y103,2137851,92312406,SOLE,
JEFFERIES FINANCIAL GROUP IN,47233W109,2704265,135159165,SOLE,
MAGNUM ICE CREAM CO NV,N5505D105,2971716,51737576,SOLE,
CARMAX INC,143130102,3008564,159122950,SOLE,
CITIGROUP INC,172967424,3016828,422235247,SOLE,
AMRIZE LTD,H2927K103,3177325,169351423,SOLE,
FORTUNE BRANDS INNOVATIONS I,34964C106,3825269,210007268,SOLE,
LIBERTY BROADBAND CORP,530307305,4641753,154384705,SOLE,
NCR VOYIX CORPORATION,62886E108,5413012,44224308,SOLE,
INTERNATIONAL FLAVORS&FRAGRA,459506101,5455081,432151517,SOLE,
NOV INC,62955J103,6392388,118578797,SOLE,
CNH INDL N V,N20944109,7148586,80278621,SOLE,
BAXTER INTL INC,071813109,7618145,162418851,SOLE,
AVANTOR INC,05352A100,8190740,81088326,SOLE,
COMCAST CORP NEW,20030N101,8676664,213012101,SOLE,
DOUGLAS EMMETT INC,25960P109,8743999,103179188,SOLE,
