Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,6803454,1198972698,SOLE,
AUTOMATIC DATA PROCESSING IN,053015103,4362099,1345271332,SOLE,
CATALYST PHARMACEUTICALS INC,14888U101,2709086,58787166,SOLE,
CHOICE HOTELS INTL INC,169905106,733892,93116217,SOLE,
CHURCH & DWIGHT CO INC,171340102,6824289,655882416,SOLE,
CLOROX CO DEL,189054109,613497,73662585,SOLE,
DOXIMITY INC,26622P107,1355944,83173605,SOLE,
EXPONENT INC,30214U102,746820,55794922,SOLE,
FORTINET INC,34959E109,8418362,889989231,SOLE,
GRACO INC,384109104,900545,77419854,SOLE,
HOME DEPOT INC,437076102,83367,30565677,SOLE,
IDEXX LABS INC,45168D104,2639289,1415556262,SOLE,
INTUIT,461202103,368540,290273160,SOLE,
MANHATTAN ASSOCIATES INC,562750109,288332,56936920,SOLE,
MARRIOTT INTL INC NEW,571903202,4236599,1157481213,SOLE,
MASTERCARD INCORPORATED,57636Q104,27663,15544946,SOLE,
MEDPACE HLDGS INC,58506Q109,127537,40028763,SOLE,
META PLATFORMS INC,30303M102,3568752,2634060164,SOLE,
METTLER TOLEDO INTERNATIONAL,592688105,590037,693128265,SOLE,
MICROSOFT CORP,594918104,4941509,2457955992,SOLE,
MSCI INC,55354G100,166619,96095842,SOLE,
NAPCO SEC TECHNOLOGIES INC,630402105,954912,28351337,SOLE,
NIKE INC,654106103,6129483,435438472,SOLE,
ODDITY TECH LTD,M7518J104,1416956,106937669,SOLE,
OTIS WORLDWIDE CORP,68902V107,5819151,576212332,SOLE,
PAYCOM SOFTWARE INC,70432V102,413510,95686214,SOLE,
PHILIP MORRIS INTL INC,718172109,9074195,1652683135,SOLE,
PROCTER AND GAMBLE CO,742718109,4572280,728455650,SOLE,
QUALYS INC,74758T303,718602,102666668,SOLE,
ROLLINS INC,775711104,1478629,83424248,SOLE,
SABRE CORP,78573M104,21499095,67937140,SOLE,
STRYKER CORPORATION,863667101,4677007,1850364279,SOLE,
TEXAS INSTRS INC,882508104,2720290,564786610,SOLE,
VERISIGN INC,92343E102,270634,78159099,SOLE,
VERISK ANALYTICS INC,92345Y106,176195,54884743,SOLE,
VERTIV HOLDINGS CO,92537N108,724923,93087362,SOLE,
VISA INC,92826C839,3854071,1368387909,SOLE,
WATERS CORP,941848103,3608407,1259478379,SOLE,
ZOETIS INC,98978V103,2884831,449889394,SOLE,
