Company,CUSIP,Shares,Value,Discretion,PutCall
Abbott Labs,002824100,11610,1319593,SOLE,
AbbVie Inc,00287Y109,12510,2278071,SOLE,
Alphabet Inc Cl A,02079K305,21930,3309895,SOLE,
Alphabet Inc Cl C,02079K107,7060922,1075095984,SOLE,
Altria Group Inc,02209S103,314052,13698936,SOLE,
American Express,025816109,18095,4120051,SOLE,
Apple Inc,037833100,7974,1367382,SOLE,
Ashtead Group PLC ADR,045055100,1253,357091,SOLE,
Berkshire Hathaway Inc Cl A,084670108,2132,1352626080,SOLE,
Berkshire Hathaway Inc Cl B,084670702,1464531,615864576,SOLE,
BP PLC ADR,055622104,6492,244634,SOLE,
Brown-Forman Corp Cl A,115637100,2198694,116420833,SOLE,
Brown-Forman Corp Cl B,115637209,904932,46712592,SOLE,
Burnham Hldgs Inc Cl A,122295108,10000,132500,SOLE,
Cable One Inc,12685J105,11681,4942491,SOLE,
Chevron Corp,166764100,4636,731254,SOLE,
Coca-Cola,191216100,15580,953184,SOLE,
Comcast Corp New Cl A,20030N101,3094244,134135498,SOLE,
Compagnie Financiere Richemont,204319107,65847,1005214,SOLE,
Corteva Inc,22052L104,6033,347932,SOLE,
Costco Whsl Corp,22160K105,5477,4012610,SOLE,
Crane Company,224408104,66981,9051143,SOLE,
Danone ADR,23636T100,10057,130099,SOLE,
Davide Campari-Milano ADR,23857X103,13650,137307,SOLE,
Disney Walt Productions,254687106,4086,499927,SOLE,
Dover Corp,260003108,24697,4376061,SOLE,
Dow Inc,260557103,17874,1035450,SOLE,
Dupont De Nemours Inc,26614N102,15482,1186997,SOLE,
Exxon Mobil Corp,30231G102,180134,20938780,SOLE,
Fomento Economico Mex Sponsore,344419106,6325,823958,SOLE,
Fulton Finl Corp,360271100,116305,1848086,SOLE,
Heineken Holding NV ADR,423008101,17850,720994,SOLE,
Heineken NV Sponsored ADR,423012301,5060,244112,SOLE,
Hormel Foods Corp,440452100,60813,2121766,SOLE,
J.P. Morgan Chase,46625H100,1710494,342611855,SOLE,
Lamar Advertising Co-A,512816109,6575,785121,SOLE,
LVMH Moet Hennessy Louis Vuitt,502441306,1121,201868,SOLE,
Markel Corp,570535104,9799,14908983,SOLE,
Martin Marietta Materials,573284106,787480,483465519,SOLE,
Mastercard Inc Cl A,57636Q104,2100298,1011440625,SOLE,
McCormick Inc,579780206,43445,3337010,SOLE,
McDonalds Corp,580135101,1932,544727,SOLE,
Merck Inc,58933Y105,3513,463550,SOLE,
Microsoft Corp,594918104,5362,2255901,SOLE,
Mondelez International Inc,609207105,4400,308000,SOLE,
Nestle SA Sponsored ADR,641069406,7251976,770159822,SOLE,
Netflix Inc,64110L106,874075,530851970,SOLE,
Oracle Corp,68389X105,3475,436495,SOLE,
Outfront Media Inc,69007J106,63379,1064133,SOLE,
Pepsico Inc,713448108,12443,2177625,SOLE,
Pernod-Ricard SA Unsponsored A,714264306,20735,671588,SOLE,
Philip Morris International In,718172109,5551197,508600676,SOLE,
PNC Bank Corp,693475105,7293,1178549,SOLE,
Procter & Gamble,742718109,32325,5244731,SOLE,
Truist Financial Corp,89832Q109,11381,443650,SOLE,
Uber Technologies Inc,90353T100,3300228,254084554,SOLE,
Unilever PLC ADR,904767704,15167,761248,SOLE,
Union Pac Corp,907818108,23374,5748247,SOLE,
Unum Group,91529Y106,4050,217323,SOLE,
Visa Inc Cl A,92826C839,295629,82504141,SOLE,
Vulcan Materials,929160109,38643,10546448,SOLE,
Wal Mart Stores Inc,931142103,10365,623662,SOLE,
Wells Fargo,949746101,674969,39121194,SOLE,
Anheuser-Busch InBev SA,B639CJ108,472393,28805013,SOLE,
Ashtead Group PLC,G05320109,5126660,365260683,SOLE,
Carlsberg B A/S,K36628137,24530,3351409,SOLE,
Cir SPA,T2R765103,251250,145444,SOLE,
Compagnie Financiere Richemont,H25662182,4636489,707801974,SOLE,
Davide Campari-Milano NV,N24565108,641646,6454394,SOLE,
Diageo PLC,G42089113,8452,312355,SOLE,
Hanjaya Mandala Sampoerna,Y7121Z146,5000000,271208,SOLE,
Heineken Holding NV,N39338194,7824713,632111615,SOLE,
Heineken NV,N39427211,25441,2454731,SOLE,
Lindt & Spruengli AG - Reg,H49983176,19,2295104,SOLE,
Loreal SA,F58149133,6736,3191126,SOLE,
LT Group Inc,Y5342M100,1775000,315436,SOLE,
LVMH Moet Hennessy Louis Vuitt,F58485115,560,504222,SOLE,
Nestle SA-REG,H57312649,40136,4266706,SOLE,
Pernod Ricard,F72027109,3023620,489663164,SOLE,
Reckitt Benckiser Group PLC,G74079107,4630,263900,SOLE,
Swiss Helvetia FD Inc,870875101,274948,2180339,SOLE,
