Company,CUSIP,Shares,Value,Discretion,PutCall
ANHEUSER BUSCH INBEV SA NV,03524A108,1703000,118137110,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,17048304,8169547277,SOLE,
CANADIAN NATL RY CO,136375102,51826786,5326238797,SOLE,
CATERPILLAR INC,149123101,6353614,4501281374,SOLE,
COCA-COLA FEMSA SAB DE CV,191241108,6214719,606245838,SOLE,
COUPANG INC,22266T109,9248045,174603090,SOLE,
DANAHER CORP DEL,235851102,373000,70720800,SOLE,
DEERE & CO,244199105,3557378,2003871027,SOLE,
ECOLAB INC,278865100,5218044,1388104065,SOLE,
FEDEX CORP,31428X106,2384362,849262057,SOLE,
HORMEL FOODS CORP,440452100,2085290,47231819,SOLE,
KRAFT HEINZ CO,500754106,2472600,55608774,SOLE,
MADISON SQUARE GRDN SPRT COR,55825T103,592406,190399288,SOLE,
MCDONALDS CORP,580135101,334900,104083571,SOLE,
ON HLDG AG,H5919C104,500000,17010000,SOLE,
PACCAR INC,693718108,1000000,115500000,SOLE,
SCHRODINGER INC,80810D103,6981664,79311703,SOLE,
VERALTO CORP,92338C103,124333,10993524,SOLE,
WALMART INC,931142103,8390477,1042768482,SOLE,
WASTE CONNECTIONS INC,94106B101,2039175,331243587,SOLE,
WASTE MGMT INC DEL,94106L109,27642344,6351934228,SOLE,
WEST PHARMACEUTICAL SVSC INC,955306105,444500,111409480,SOLE,
