Company,CUSIP,Shares,Value,Discretion,PutCall
GRAYSCALE BITCOIN TR BTC,389637109,7442,550857,SOLE,
ALIGN TECHNOLOGY INC,016255101,43006,8967181,DFND,
ALPHABET INC,02079K305,256523,48559804,DFND,
ALPHABET INC C,02079K107,755342,143847330,DFND,
AMETEK INC,031100100,974459,175655979,DFND,
ANALOG DEVICES INC,032654105,171775,36495317,DFND,
APPLE INC,037833100,16976,4251130,DFND,
ARISTA NETWORKS INC,040413106,410428,45364607,SOLE,
BANK AMERICA CORP,060505104,1000978,43992983,DFND,
BANK OZK LITTLE ROCK ARK,06417N103,1212438,53989864,DFND,
BERKSHIRE HATHAWAY INC DEL,084670702,505550,229155704,DFND,
BERKSHIRE HATHAWAY INC DEL,084670108,8,5447360,SOLE,
BIRKENSTOCK HLDG PLC,M2029K104,27392,1552031,SOLE,
BOOKING HOLDINGS INC.,09857L108,21177,105216230,DFND,
BROWN & BROWN,115236101,294809,30076414,SOLE,
CAPITAL ONE FC,14040H105,14774,2634500,SOLE,
CARMAX INC,143130102,1682869,137591369,DFND,
COPART INC,217204106,27484,1577307,SOLE,
COSTCO WHSL CORP NEW,22160K105,240,219905,SOLE,
CREDIT ACCEP CORP MICH,225310101,29558,13876299,SOLE,
DISNEY WALT CO,254687106,248218,27639074,DFND,
DOUBLELINE SHILLER ENHANCED CAPE I,25861R204,10645,319031,SOLE,
DREAM FINDERS HOMES,26154D100,32202,749341,SOLE,
EDWARDS LIFESCIENCES CORP,28176E108,257,19026,DFND,
FERGUSON ENTERPRISES INC,31488V107,33708,5850698,SOLE,
FISERV INC,337738108,630254,129466777,DFND,
FIVE BELOW INC,33829M101,732110,76842266,DFND,
FLOOR & DECOR HLDGS INC,339750101,233921,23321924,DFND,
FORTUNE BRANDS HOME & SEC IN,34964C106,463140,31646356,DFND,
HEICO CORP NEW,422806208,741655,138007162,DFND,
INSTALLED BLDG PRODS INC,45780R101,504735,88454809,DFND,
INTERCONTINENTAL EXCHANGE IN,45866F104,16799,2503219,DFND,
INTUITIVE SURGICAL INC,46120E602,405,211394,SOLE,
ISHARES SILVER TR,46428Q109,23000,605590,SOLE,
ISHARES TR,464288752,10432,1078564,DFND,
JACOBS SOLUTIONS INC,46982L108,4394,587126,SOLE,
JPMORGAN CHASE & CO,46625H100,43862,10514160,DFND,
KEYSIGHT TECHNOLOGIES INC,49338L103,331845,53304262,DFND,
KINSALE CAPITAL GROUP IN,49714P108,90759,42214734,DFND,
LIBERTY BROADBAND CORP,530307305,15000,1121400,SOLE,
LITTELFUSE INC,537008104,80615,18996925,DFND,
LULULEMON ATHLETICA INC,550021109,143368,54825357,DFND,
M & T BK CORP,55261F104,367581,69108904,DFND,
MARKEL CORP,570535104,43331,74799272,DFND,
MASTERCARD INCORPORATED,57636Q104,26275,13835627,DFND,
MEDPACE HOLDINGS INC,58506Q109,234287,77837170,DFND,
META PLATFORMS INC,30303M102,315095,184491273,DFND,
MICROSOFT CORP,594918104,2354,992211,DFND,
NOVO-NORDISK A S,670100205,12400,1066648,SOLE,
NVR INC,62944T105,13558,110889526,DFND,
OLD DOMINION FREIGHT LINE IN,679580100,5255,926982,SOLE,
PROGRESSIVE CORP,743315103,545856,130792556,DFND,
SCHWAB CHARLES CORP,808513105,947927,70156077,DFND,
SITEONE LANDSCAPE SUPPLY INC,82982L103,3753,494533,SOLE,
SPDR GOLD TR,78463V107,4206,1018399,DFND,
SPDR S&P 500 ETF,78462F103,4752,2785052,DFND,
STARBUCKS CORP,855244109,749372,68380195,DFND,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,14638,2890859,DFND,
UNITEDHEALTH GRP INC,91324P102,2364,1195853,SOLE,
VANGUARD 500 INDX ETF-NEW,922908363,584,314665,SOLE,
VISA INC,92826C839,395717,125062401,DFND,
YUM CHINA HLDGS INC,98850P109,36036,1735854,SOLE,
