Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K305,361398,113117574,DFND
ALPHABET INC C,02079K107,639507,200677297,DFND
AMETEK INC,031100100,979458,201092522,DFND
ANALOG DEVICES INC,032654105,176747,47933786,DFND
APPLE INC,037833100,16518,4490583,DFND
ARISTA NETWORKS INC,040413205,419158,54922273,SOLE
BANK OZK LITTLE ROCK ARK,06417N103,1264042,58171213,DFND
BERKSHIRE HATHAWAY INC DEL,084670108,11,8302800,DFND
BERKSHIRE HATHAWAY INC DEL,084670702,505984,254332858,DFND
BIRKENSTOCK HLDG PLC,M2029K104,27392,1120333,SOLE
BOOKING HOLDINGS INC.,09857L108,21445,114845052,DFND
BRIGHT HORIZONSFAMILY SOLUTION,109194100,410196,41593874,DFND
BROWN & BROWN,115236101,772520,61569844,DFND
BUILDERS FIRSTSOURCE INC,12008R107,89984,9258454,SOLE
CAPITAL ONE FC,14040H105,8274,2005287,SOLE
COPART INC,217204106,27484,1075999,SOLE
COSTCO WHSL CORP NEW,22160K105,240,206962,SOLE
DISNEY WALT CO,254687106,544419,61938550,DFND
DREAM FINDERS HOMES,26154D100,32202,550654,SOLE
FERGUSON ENTERPRISES INC,31488V107,36374,8097944,SOLE
FIVE BELOW INC,33829M101,637747,120126025,DFND
FLOOR & DECOR HLDGS INC,339750101,235876,14362490,DFND
HEICO CORP NEW,422806208,754532,190466513,DFND
INSTALLED BLDG PRODS INC,45780R101,519236,134684626,DFND
INTUITIVE SURGICAL INC,46120E602,405,229376,SOLE
ISHARES TR,464288752,11698,1126517,DFND
JPMORGAN CHASE & CO,46625H100,51838,16703240,DFND
KEYSIGHT TECHNOLOGIES INC,49338L103,334046,67874807,DFND
KINSALE CAPITAL GROUP IN,49714P108,214264,83802936,DFND
LITTELFUSE INC,537008104,81585,20634478,DFND
LULULEMON ATHLETICA INC,550021109,144237,29973891,DFND
M & T BK CORP,55261F104,7540,1519159,DFND
MARKEL CORP,570535104,43978,94537308,DFND
MASTERCARD INCORPORATED,57636Q104,28759,16417938,DFND
MEDPACE HOLDINGS INC,58506Q109,263320,147893678,DFND
META PLATFORMS INC,30303M102,313449,206904550,DFND
MICROSOFT CORP,594918104,1704,824088,DFND
NOVO-NORDISK A S,670100205,12400,630912,SOLE
NVR INC,62944T105,14112,102915570,DFND
OLD DOMINION FREIGHT LINE IN,679580100,5255,823984,SOLE
PROGRESSIVE CORP,743315103,536832,122247383,DFND
RESMED INC,761152107,235388,56697908,SOLE
SCHWAB CHARLES CORP,808513105,1585661,158423391,DFND
SITEONE LANDSCAPE SUPPLY INC,82982L103,3753,467474,SOLE
SPDR GOLD TR,78463V107,3876,1536098,SOLE
SPDR S&P 500 ETF,78462F103,2474,1687070,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,16069,4836769,DFND
TWFG INC,87318A101,331511,9537571,DFND
VISA INC,92826C839,407345,142859965,DFND
YUM CHINA HLDGS INC,98850P109,36036,1720359,SOLE
