Company,CUSIP,Shares,Value,Discretion
"Agilent Technologies, Inc. (A)",00846U101,10700,1437438,SOLE
Arrow Electronics Inc (ARW),042735100,1904857,215477424,SOLE
Avnet Inc (AVT),053807103,3962837,207335632,SOLE
Berkshire Hathaway Inc. Class B (BRK/B),084670702,1001,453733,SOLE
Citigroup Inc (C),172967424,16870765,1187533148,SOLE
CRH PLC  (CRH),G25508105,631793,58453488,SOLE
"D R Horton, Inc. (DHI)",23331A109,3671563,513357939,SOLE
Genpact LTD (G),G3922B107,1230338,52843017,SOLE
General Motors Co (GM),35045V100,23723444,1263747862,SOLE
Goldman Sachs (GS),38141G104,2500,1431550,SOLE
International Paper Co (IP),460146103,35288,1899200,SOLE
J P Morgan Chase (JPM),46625H100,5000,1198550,SOLE
Lear Corporation (LEA),521865204,1842247,174460791,SOLE
Lennar Corporation - A (LEN),526057104,9164735,1249794912,SOLE
Lennar Corporation - B SHS (LEN/B),526057302,364059,48110397,SOLE
Morgan Stanley (MS),617446448,10000,1257200,SOLE
Meritage Homes Corp (MTH),59001A102,739013,113674980,SOLE
NOV INC (NOV),62955J103,3291042,48049213,SOLE
Oshkosh Corp (OSK),688239201,2552106,242628717,SOLE
PulteGroup Inc. (PHM),745867101,5584228,608122429,SOLE
Charles Schwab Corporation (SCHW),808513105,20000,1480200,SOLE
Terex Corp (TEX),880779103,1503133,69474807,SOLE
"Toll Brothers, Inc. (TOL)",889478103,5536503,697322553,SOLE
Union Pacific Corp (UNP),907818108,2032,463377,SOLE
