Company,CUSIP,Shares,Value,Discretion,PutCall
"Agilent Technologies, Inc. (A)",00846U101,10700,1251686,SOLE,
Arrow Electronics Inc (ARW),042735100,1913757,198705389,SOLE,
Avnet Inc (AVT),053807103,3965237,190688247,SOLE,
Berkshire Hathaway Inc. Class B (BRK/B),084670702,1001,533113,SOLE,
Citigroup Inc (C),172967424,16665843,1183108195,SOLE,
CRH PLC  (CRH),G25508105,26937,2369648,SOLE,
"D R Horton, Inc. (DHI)",23331A109,3674763,467172620,SOLE,
Genpact LTD (G),G3922B107,146678,7389638,SOLE,
General Motors Co (GM),35045V100,23780060,1118376222,SOLE,
Goldman Sachs (GS),38141G104,2500,1365725,SOLE,
J P Morgan Chase (JPM),46625H100,5000,1226500,SOLE,
Lear Corporation (LEA),521865204,1843447,162628894,SOLE,
Lennar Corporation - A (LEN),526057104,9439955,1083518035,SOLE,
Lennar Corporation - B SHS (LEN/B),526057302,364059,39707915,SOLE,
Millrose Properties (MRP),601137102,7888017,209111331,SOLE,
Morgan Stanley (MS),617446448,10000,1166700,SOLE,
Meritage Homes Corp (MTH),59001A102,1434368,101668004,SOLE,
NOV INC (NOV),62955J103,4114157,62617470,SOLE,
Oshkosh Corp (OSK),688239201,2553606,240243252,SOLE,
PulteGroup Inc. (PHM),745867101,5587328,574377318,SOLE,
Robert Half Inc. (RHI),770323103,3800,207290,SOLE,
Charles Schwab Corporation (SCHW),808513105,20000,1565600,SOLE,
Stellantis NV (STLA),N82405106,30000,336300,SOLE,
Terex Corp (TEX),880779103,1503133,56788365,SOLE,
"Toll Brothers, Inc. (TOL)",889478103,5562582,587353033,SOLE,
Union Pacific Corp (UNP),907818108,2032,480040,SOLE,
