Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,100035,35749508,SOLE,
AMAZON COM INC,023135106,280350,66818619,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,63,47177550,SOLE,
BROOKFIELD CORP,11271J107,1392742,59316882,SOLE,
ISHARES TR,46436E718,383000,38556610,SOLE,
MARKEL GROUP INC,570535104,20305,39655868,SOLE,
NETFLIX INC.,64110L106,275835,19694619,SOLE,
SPOTIFY TECHNOLOGY S A,L8681T102,39370,18075948,SOLE,
TESLA INC,88160R101,47390,19932234,SOLE,
TRUPANION INC,898202106,776490,19233657,SOLE,
