Company,CUSIP,Shares,Value,Discretion
BLACK KNIGHT INC,09215C105,416229,23958141,SOLE
BLACK KNIGHT INC,09215C105,371301,21372086,OTR
BLACK KNIGHT INC,09215C105,137210,7897808,OTR
BRIGHTHOUSE FINL INC,10922N103,1231155,54306247,SOLE
BRIGHTHOUSE FINL INC,10922N103,559306,24670988,OTR
BRIGHTHOUSE FINL INC,10922N103,181752,8017081,OTR
BRIGHTHOUSE FINL INC,10922N103,1150530,50749878,OTR
CAPRI HOLDINGS LIMITED,G1890L107,547913,25751911,SOLE
CAPRI HOLDINGS LIMITED,G1890L107,503302,23655194,OTR
CAPRI HOLDINGS LIMITED,G1890L107,192825,9062775,OTR
CIVITAS RESOURCES INC,17888H103,207820,14202419,SOLE
CIVITAS RESOURCES INC,17888H103,66828,4567026,OTR
CIVITAS RESOURCES INC,17888H103,183560,12544490,OTR
CONCENTRIX CORP,20602D101,92066,11190622,SOLE
CONCENTRIX CORP,20602D101,83600,10161580,OTR
CONCENTRIX CORP,20602D101,32295,3925457,OTR
CONSOL ENERGY INC NEW,20854L108,1227741,71540468,SOLE
CONSOL ENERGY INC NEW,20854L108,23900,1392653,OTR
CONSOL ENERGY INC NEW,20854L108,430877,25107203,OTR
CONSOL ENERGY INC NEW,20854L108,1034223,60264174,OTR
COYA THERAPEUTICS INC,22407B108,153139,608498,OTR
COYA THERAPEUTICS INC,22407B108,239508,951685,SOLE
DANIMER SCIENTIFIC INC,236272100,1122448,3872446,SOLE
DANIMER SCIENTIFIC INC,236272100,365196,1259926,OTR
DANIMER SCIENTIFIC INC,236272100,33900,116955,OTR
DANIMER SCIENTIFIC INC,236272100,1028456,3548173,OTR
FINSERV ACQUISITION CORP II,31809Y111,10685,451,OTR
FINSERV ACQUISITION CORP II,31809Y111,30595,1291,OTR
FINSERV ACQUISITION CORP II,31809Y111,37470,1581,SOLE
FIRST CTZNS BANCSHARES INC N,31946M103,3480,3386388,OTR
FIRST CTZNS BANCSHARES INC N,31946M103,9060,8816286,OTR
FIRST CTZNS BANCSHARES INC N,31946M103,10010,9740731,SOLE
FIRST TR EXCHANGE-TRADED FD,33733E807,23070,519536,OTR
FIRST TR EXCHANGE-TRADED FD,33733E807,26380,594078,SOLE
FIRST TR EXCHANGE-TRADED FD,33733E807,9090,204707,OTR
GAIN THERAPEUTICS INC,36269B105,211796,1020857,OTR
GAIN THERAPEUTICS INC,36269B105,74000,356680,OTR
GAIN THERAPEUTICS INC,36269B105,260764,1256882,SOLE
GALAPAGOS NV,36315X101,56875,2197650,OTR
GALAPAGOS NV,36315X101,20610,796370,OTR
GALAPAGOS NV,36315X101,73883,2854839,SOLE
GLOBAL PMTS INC,37940X102,93270,9815735,OTR
GLOBAL PMTS INC,37940X102,241410,25405988,OTR
GLOBAL PMTS INC,37940X102,265750,27967530,SOLE
GOPRO INC,38268T103,1269550,6385837,SOLE
GOPRO INC,38268T103,964190,4849876,OTR
GOPRO INC,38268T103,364160,1831725,OTR
GRAPHIC PACKAGING HLDG CO,388689101,432140,11015249,OTR
GRAPHIC PACKAGING HLDG CO,388689101,480890,12257886,SOLE
GRAPHIC PACKAGING HLDG CO,388689101,154640,3941774,OTR
GREEN BRICK PARTNERS INC,392709101,2740190,96071061,OTR
GREEN BRICK PARTNERS INC,392709101,8291545,290701568,SOLE
GREEN BRICK PARTNERS INC,392709101,5568773,195241181,OTR
GULFPORT ENERGY CORP,402635502,43740,3499200,OTR
GULFPORT ENERGY CORP,402635502,126206,10096480,SOLE
GULFPORT ENERGY CORP,402635502,113054,9044320,OTR
INVESCO ACTVELY MNGD ETC FD,46090F100,38230,543631,OTR
INVESCO ACTVELY MNGD ETC FD,46090F100,15070,214295,OTR
INVESCO ACTVELY MNGD ETC FD,46090F100,43690,621272,SOLE
ISHARES SILVER TR,46428Q109,689050,15241786,SOLE
ISHARES SILVER TR,46428Q109,579530,12819204,OTR
ISHARES SILVER TR,46428Q109,218800,4839856,OTR
