Company,CUSIP,Shares,Value,Discretion,PutCall
AERCAP HOLDINGS NV,N00985106,49440,4296830,OTR,
AERCAP HOLDINGS NV,N00985106,269610,23431805,SOLE,
ALIGHT INC,01626W101,566470,5579730,OTR,
ALIGHT INC,01626W101,1705300,16797205,OTR,
ALIGHT INC,01626W101,9256160,91173176,SOLE,
BRIGHTHOUSE FINL INC,10922N103,2428585,125169271,SOLE,
BRIGHTHOUSE FINL INC,10922N103,411426,21204896,OTR,
BRIGHTHOUSE FINL INC,10922N103,181752,9367498,OTR,
CLARIVATE PLC,G21810109,279560,2077131,SOLE,
CONSOL ENERGY INC NEW,20854L108,1388407,116292970,SOLE,
CONSOL ENERGY INC NEW,20854L108,252343,21136250,OTR,
COYA THERAPEUTICS INC,22407B108,1034925,10266456,SOLE,
COYA THERAPEUTICS INC,22407B108,239101,2371882,OTR,
DANIMER SCIENTIFIC INC,236272100,365196,398064,OTR,
DANIMER SCIENTIFIC INC,236272100,2335484,2545678,SOLE,
DANIMER SCIENTIFIC INC,236272100,33900,36951,OTR,
DHT HOLDINGS INC,Y2065G121,3400730,39108395,SOLE,
DHT HOLDINGS INC,Y2065G121,623610,7171515,OTR,
FIRST CTZNS BANCSHARES INC N,31946M103,21260,34760100,SOLE,
FIRST CTZNS BANCSHARES INC N,31946M103,3900,6376500,OTR,
FIRST TR EXCHANGE-TRADED FD,33733E807,10930,299919,OTR,
FIRST TR EXCHANGE-TRADED FD,33733E807,59900,1643656,SOLE,
GAIN THERAPEUTICS INC,36269B105,492130,1855330,SOLE,
GAIN THERAPEUTICS INC,36269B105,74000,278980,OTR,
GALAPAGOS NV,36315X101,139218,4482820,SOLE,
GALAPAGOS NV,36315X101,20610,663642,OTR,
GOPRO INC,38268T103,2458940,5483436,SOLE,
GOPRO INC,38268T103,364160,812077,OTR,
GRAPHIC PACKAGING HLDG CO,388689101,278690,8132174,OTR,
GRAPHIC PACKAGING HLDG CO,388689101,1517440,44278899,SOLE,
GREEN BRICK PARTNERS INC,392709101,1802690,108576019,OTR,
GREEN BRICK PARTNERS INC,392709101,8664693,521874459,SOLE,
HP INC,40434L105,1366720,41302278,SOLE,
HP INC,40434L105,249240,7532033,OTR,
INVESCO ACTVELY MNGD ETC FD,46090F100,99250,1376598,SOLE,
INVESCO ACTVELY MNGD ETC FD,46090F100,18110,251186,OTR,
INVESCO EXCHANGE TRADED FD T,46137V100,154261,15668290,SOLE,
INVESCO EXCHANGE TRADED FD T,46137V100,28250,2869353,OTR,
KATAPULT HOLDINGS INC,485859110,226627,4487,SOLE,
KATAPULT HOLDINGS INC,485859110,35600,705,OTR,
KENVUE INC,49177J102,598010,12833295,SOLE,
KENVUE INC,49177J102,109730,2354806,OTR,
KYNDRYL HLDGS INC,50155Q100,5585635,121543418,SOLE,
KYNDRYL HLDGS INC,50155Q100,1019424,22182666,OTR,
LIBERTY GLOBAL LTD,G61188101,259520,4391078,OTR,
LIBERTY GLOBAL LTD,G61188101,1782060,30152455,SOLE,
LIVANOVA PLC,G5509L101,1125184,62942793,SOLE,
LIVANOVA PLC,G5509L101,207620,11614263,OTR,
NET POWER INC,64107A105,1655476,18855872,SOLE,
NET POWER INC,64107A105,303804,3460328,OTR,
NEUBASE THERAPEUTICS INC,64132K201,18040,8116,OTR,
NEUBASE THERAPEUTICS INC,64132K201,118310,53228,SOLE,
NUVATION BIO INC,67080N119,100000,30250,OTR,
NUVATION BIO INC,67080N101,34995,127382,OTR,
PENN ENTERTAINMENT INC,707569109,3895650,70939787,SOLE,
PENN ENTERTAINMENT INC,707569109,659060,12001483,OTR,
ROIVANT SCIENCES LTD,G76279101,649700,6847838,OTR,
ROIVANT SCIENCES LTD,G76279101,3540790,37319927,SOLE,
SEADRILL 2021 LTD,G7997W102,87300,4391190,OTR,
SEADRILL 2021 LTD,G7997W102,482105,24249882,SOLE,
SOTERA HEALTH CO,83601L102,277621,3334228,SOLE,
SOTERA HEALTH CO,83601L102,22489,270093,OTR,
SPDR GOLD TR,78463V107,234161,48171601,SOLE,
SPDR GOLD TR,78463V107,12510,2573557,OTR,
SPDR SER TR,78464A631,19740,2773667,OTR,
SPDR SER TR,78464A631,107817,15149367,SOLE,
TALIS BIOMEDICAL CORP,87424L207,19436,170065,OTR,
TALIS BIOMEDICAL CORP,87424L207,129616,1134140,SOLE,
TECK RESOURCES LTD,878742204,273730,12531359,OTR,
TECK RESOURCES LTD,878742204,1278333,58522085,SOLE,
TENET HEALTHCARE CORP,88033G407,752733,79119766,SOLE,
TENET HEALTHCARE CORP,88033G407,137897,14494354,OTR,
TEVA PHARMACEUTICAL INDS LTD,881624209,40370,569621,OTR,
TEVA PHARMACEUTICAL INDS LTD,881624209,284480,4014013,SOLE,
THE ODP CORP,88337F105,265171,14067322,OTR,
THE ODP CORP,88337F105,1445409,76678947,SOLE,
VANECK ETF TRUST,92189H607,9490,3191772,SOLE,
VANECK ETF TRUST,92189F106,12940,409163,OTR,
VANECK ETF TRUST,92189H607,1730,581851,OTR,
VANECK ETF TRUST,92189F106,98450,3112989,SOLE,
VIATRIS INC,92556V106,675260,8062604,OTR,
VIATRIS INC,92556V106,3842360,45877778,SOLE,
WEATHERFORD INTL PLC,G48833118,268657,31008391,SOLE,
WEATHERFORD INTL PLC,G48833118,48820,5634804,OTR,
