Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,3982130,526557050,SOLE,
ALPHABET INC,02079K107,1110600,173509038,SOLE,
APPLE INC,037833100,34224181,7602217326,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,3381300,1800812754,SOLE,
DISNEY WALT CO,254687106,723000,71360100,SOLE,
MICROSOFT CORP,594918104,299200,112316688,SOLE,
MODERNA INC,60770K107,83000,2353050,SOLE,
NVIDIA CORPORATION,67066G104,645100,69915938,SOLE,
OCCIDENTAL PETE CORP,674599105,13826100,682456296,SOLE,
PDD HOLDINGS INC,722304102,7753900,917674065,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,271792,45117472,SOLE,
