Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,3746230,424859944,SOLE
ALPHABET INC,02079K107,1945400,345094506,SOLE
APPLE INC,037833100,35118607,7205284598,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,3381300,1642534101,SOLE
DISNEY WALT CO,254687106,723000,89659230,SOLE
MICROSOFT CORP,594918104,279200,138876872,SOLE
NVIDIA CORPORATION,67066G104,964800,152428752,SOLE
OCCIDENTAL PETE CORP,674599105,13556100,569491761,SOLE
PDD HOLDINGS INC,722304102,8662694,906637554,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,259984,58883776,SOLE
