Company,CUSIP,Shares,Value,Discretion,PutCall
ADOBE INC,00724F101,16200,3937896,SOLE,
AIR PRODUCTS AND CHEMICALS I,009158106,1339,388966,SOLE,
AKAMAI TECHNOLOGIES INC,00971T101,22825,2621451,SOLE,
ALPHABET INC,02079K107,1127,323291,SOLE,
ALPHABET INC,02079K305,6,1725,SOLE,
BAXTER INTL INC,071813109,247320,4154976,SOLE,
BECTON DICKINSON & CO,075887109,14209,2234081,SOLE,
BIOGEN INC,09062X103,29540,5415568,SOLE,
BLACKROCK INC,09290D101,347,333713,SOLE,
BOEING CO,097023105,22326,4443544,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,53102,3220636,SOLE,
BROWN FORMAN CORP,115637209,176437,4664994,SOLE,
CARMAX INC,143130102,109181,4539746,SOLE,
CLOROX CO DEL,189054109,3555,368405,SOLE,
COMCAST CORP NEW,20030N101,95228,2733996,SOLE,
CONAGRA BRANDS INC,205887102,147639,2320885,SOLE,
CONSTELLATION BRANDS INC,21036P108,18795,2819250,SOLE,
COSTAR GROUP INC,22160N109,8557,345189,SOLE,
CVS HEALTH CORP,126650100,67462,4845121,SOLE,
DIAGEO PLC,25243Q205,27507,2047896,SOLE,
DISNEY WALT CO,254687106,24599,2370852,SOLE,
DUPONT DE NEMOURS INC,26614N102,117901,5399866,SOLE,
EQUIFAX INC,294429105,13556,2441029,SOLE,
FISERV INC,337738108,80728,4504622,SOLE,
GE AEROSPACE,369604301,1282,363793,SOLE,
GSK PLC,37733W204,97432,5377272,SOLE,
HERSHEY CO,427866108,10608,2205297,SOLE,
INTERNATIONAL FLAVORS&FRAGRA,459506101,72773,5279681,SOLE,
INTUIT,461202103,957,413788,SOLE,
ISHARES TR,464287200,1250,816513,SOLE,
ISHARES TR,464287465,30854,2996829,SOLE,
ISHARES TR,464287499,2449,238140,SOLE,
ISHARES TR,464288117,5608,230264,SOLE,
KRAFT HEINZ CO,500754106,201140,4523639,SOLE,
LAUDER ESTEE COS INC,518439104,52172,3744384,SOLE,
MEDTRONIC PLC,G5960L103,3668,317832,SOLE,
MICROSOFT CORP,594918104,10828,4008201,SOLE,
NIKE INC,654106103,77906,4114995,SOLE,
ORACLE CORP,68389X105,16109,2369795,SOLE,
PFIZER INC,717081103,187937,5277271,SOLE,
PRICE T ROWE GROUP INC,74144T108,25902,2334806,SOLE,
RTX CORPORATION,75513E101,1975,380978,SOLE,
SALESFORCE INC,79466L302,10956,2045157,SOLE,
SERVICENOW INC,81762P102,3377,353065,SOLE,
SPDR SERIES TRUST,78464A516,10384,227929,SOLE,
SPDR SERIES TRUST,78464A854,4444,340144,SOLE,
TAIWAN SEMICONDUCTOR MANUFAC,874039100,7962,2690758,SOLE,
THE CAMPBELLS COMPANY,134429109,166178,3700784,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,656,322444,SOLE,
UNITED PARCEL SVCS INC,911312106,22316,2195448,SOLE,
UNITEDHEALTH GROUP INC,91324P102,7405,2003719,SOLE,
US BANCORP,902973304,52528,2731981,SOLE,
VERIZON COMMUNICATIONS INC,92343V104,64998,3262900,SOLE,
WARNER BROS DISCOVERY INC,934423104,196309,5390645,SOLE,
WEST PHARMACEUTICAL SVSC INC,955306105,8906,2232200,SOLE,
ZIMMER BIOMET HOLDINGS INC,98956P102,55700,5036394,SOLE,
