Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,2543300,731351348,SOLE,
ALPHABET INC,02079K107,2451300,703179918,SOLE,
APPLE INC,037833100,110600,28069174,SOLE,
BK OF AMERICA CORP,060505104,2997987,146151866,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,897749,430201321,SOLE,
CROCS INC,227046109,887093,73646461,SOLE,
EAST WEST BANCORP INC,27579R104,2776351,296403233,SOLE,
BLOCK H & R INC,093671105,1626906,51637996,SOLE,
MOODYS CORP,615369105,117784,51383270,SOLE,
MSCI INC,55354G100,18939,10208310,SOLE,
OCCIDENTAL PETE CORP,674599105,1466500,95322500,SOLE,
PDD HOLDINGS INC,722304102,4608000,470845440,SOLE,
S&P GLOBAL INC,78409V104,121463,51663072,SOLE,
TENCENT MUSIC ENTMT GROUP,88034P109,6590836,61162958,SOLE,
