Company,CUSIP,Shares,Value,Discretion,PutCall
American Electric Power Company,025537101,1205300,123663780,DFND,
Bausch Plus Lomb Corp.,071705107,3500000,67515000,DFND,
Bausch Health Companies Inc.,071734107,34721118,283324323,DFND,
"Caesars Entertainment, Inc.",12769G100,2440109,101850150,DFND,
"Centuri Holdings, Inc.",155923105,3591929,58009653,DFND,
CVR Energy Inc,12662P108,51192381,1178960534,DFND,
CVR Energy Inc,12662P108,15500000,356965000,DFND,
"CVR Partners, LP",126633205,3892000,261269960,DFND,
Dana Inc.,235825205,14286505,150865493,DFND,
Icahn Enterprises LP,451100101,217077397,2934886407,DFND,
Icahn Enterprises LP,451100101,47852208,646961852,DFND,
Icahn Enterprises LP,451100101,92557626,1251379104,DFND,
Icahn Enterprises LP,451100101,59548564,805096585,DFND,
Icahn Enterprises LP,451100101,16171138,218633786,DFND,
Illumina Inc.,452327109,430000,56076300,DFND,
International Flavors and Fragrances Inc.,459506101,3750000,393487500,DFND,
JetBlue Airways Corp.,477143101,17727029,116289310,DFND,
"SandRidge Energy, Inc.",80007P869,4818832,58934315,DFND,
Southwest Gas Holdings Inc.,844895102,11022604,813027271,DFND,
