Company,CUSIP,Shares,Value,Discretion,PutCall
3M Co.,88579Y101,27618,4471630,SOLE,
Abbott Labs,002824100,885262,80328674,SOLE,
AbbVie Inc.,00287Y109,11064,2784145,SOLE,
Accenture plc Class A,G1151C101,52235,6500123,SOLE,
Adobe  Inc,00724F101,33545,6877396,SOLE,
Air Products & Chemicals,009158106,5491,1609851,SOLE,
Alphabet Inc Cap Stk Cl A,02079K305,797098,284858912,SOLE,
Amazon.com Inc.,023135106,1054136,251242774,SOLE,
Amdocs Limited,G02602103,21660,1094696,SOLE,
Amphenol Corp,032095101,614660,108376851,SOLE,
AON plc Registered Shs,G0403H108,25789,8553953,SOLE,
"Apple, Inc.",037833100,860969,249129990,SOLE,
"Automatic Data Processing, Inc",053015103,82492,18474083,SOLE,
Becton Dickinson & Co.,075887109,2040,308713,SOLE,
Booz Allen Hamilton Holding Co,099502106,12730,772329,SOLE,
"Broadcom, Inc.",11135F101,392082,148108976,SOLE,
Broadridge Financial Solutions,11133T103,380126,52058256,SOLE,
"Cadence Design Systems, Inc.",127387108,308555,115806863,SOLE,
Campbell Soup Company,134429109,21735,484038,SOLE,
Church & Dwight Co Inc,171340102,31740,3074971,SOLE,
Cintas Corporation,172908105,333630,56743790,SOLE,
Clorox Company,189054109,47805,4562509,SOLE,
Coca-Cola Co,191216100,111668,9075258,SOLE,
Cognizant Technology Solutions,192446102,103867,4022769,SOLE,
Colgate-Palmolive Co,194162103,115229,10564195,SOLE,
Copart Inc.,217204106,1243675,35059198,SOLE,
Crown Holdings Inc.,228368106,52583,5879831,SOLE,
Donaldson Co. Inc.,257651109,13490,1210997,SOLE,
Ecolab Inc,278865100,58436,16280854,SOLE,
Eli Lilly & Co.,532457108,153735,184394371,SOLE,
Emerson Elec Co,291011104,73691,10548867,SOLE,
Encompass Health Corp,29261A100,39260,3968401,SOLE,
Equifax Inc,294429105,370551,58813855,SOLE,
F5 Networks Inc.,315616102,7470,3107221,SOLE,
Fair Isaac Corporation,303250104,740,884137,SOLE,
Ferrari N.V.,N3167Y103,2682,998482,SOLE,
General Mills Inc.,370334104,12546,436601,SOLE,
Genpact Limited,G3922B107,73655,2025513,SOLE,
Gentex Corporation,371901109,108470,2741037,SOLE,
Genuine Parts Company,372460105,2674,315479,SOLE,
"Home Depot, Inc.",437076102,797,281086,SOLE,
IDEXX Laboratories Inc.,45168D104,105709,55649446,SOLE,
Intuit Inc.,461202103,7526,1964286,SOLE,
Johnson & Johnson,478160104,8797,2234174,SOLE,
"Keysight Technologies, Inc.",49338L103,9127,3195089,SOLE,
KLA Corporation,482480100,790391,238468869,SOLE,
Kroger Company,501044101,62390,3464517,SOLE,
"Labcorp Holdings, Inc.",504922105,16050,4494000,SOLE,
Levi Strauss & Co,52736R102,128120,3181220,SOLE,
Linde plc,G54950103,1290,669433,SOLE,
"Manhattan Associates, Inc.",562750109,4060,565355,SOLE,
"Marsh, Inc.",571748102,984904,164153950,SOLE,
Mastercard Inc,57636Q104,347714,178585910,SOLE,
McDonald's Corp.,580135101,225570,60973827,SOLE,
"Meta Platforms, Inc. Class A",30303M102,109456,61655537,SOLE,
Microsoft Corp,594918104,737144,274969455,SOLE,
Motorola Solutions Inc.,620076307,278721,115750044,SOLE,
"MSCI, Inc.",55354G100,6410,3589856,SOLE,
Nike Inc,654106103,71344,2928671,SOLE,
Nordson Corporation,655663102,4360,1315368,SOLE,
NVIDIA Corp,67066G104,1197487,239605174,SOLE,
Omnicom Group Inc,681919106,22054,1606193,SOLE,
Oracle Corp,68389X105,118394,17350641,SOLE,
PepsiCo Inc.,713448108,79927,10822116,SOLE,
Procter & Gamble Co,742718109,860442,126175215,SOLE,
Raytheon Technologies Corp,75513E101,17586,3336592,SOLE,
Ross Stores Inc,778296103,16872,3591205,SOLE,
Sherwin-Williams Co,824348106,539035,185600531,SOLE,
Stryker Corp,863667101,589670,185651703,SOLE,
T Rowe Price Group Inc,74144T108,31950,3632396,SOLE,
Texas Instruments Inc,882508104,1247,371693,SOLE,
TJX Companies Inc,872540109,503180,76231770,SOLE,
Toro Company,891092108,21423,2087029,SOLE,
Tractor Supply Co,892356106,89840,2839842,SOLE,
"United Rentals, Inc.",911363109,1902,2154757,SOLE,
Unitedhealth Group Inc,91324P102,859,357026,SOLE,
Veeva Systems Inc. Class A,922475108,449489,79770813,SOLE,
Verisk Analytics Inc,92345Y106,379127,68064670,SOLE,
W.W. Grainger Inc.,384802104,2732,3716613,SOLE,
Waste Management,94106L109,631052,140648870,SOLE,
Waters Corp,941848103,38566,14463793,SOLE,
Jensen Quality Growth ETF,89834G562,544862,14776603,SOLE,
Taiwan Semiconductor Manuf ADR,874039100,15884,7585722,SOLE,
