Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC CLASS                  C,02079K107,134722,32811543,SOLE,
AMERICAN EXPRESS CO COM,025816109,1150,381984,SOLE,
ANTERO MIDSTREAM CORP COM,03676B102,18856,366560,SOLE,
ANTERO RES CORP COM,03674X106,17842,598777,SOLE,
APPLE INC COM,037833100,2992,761852,SOLE,
ASSURED GUARANTY LTD   F,G0585R106,2590,219243,SOLE,
BANK OF AMERICA CORP,060505104,11126,573990,SOLE,
BAYER AG SPONS ADR,072730302,6787253,56266389,SOLE,
BLACKSTONE INC COM,09260D107,1500,256275,SOLE,
BP PLC                 F SPONSORED ADR,055622104,1085607,37410017,SOLE,
BRISTOL-MYERS SQUIBB,110122108,272334,12282263,SOLE,
BROOKFIELD CORP VTG SHS CL A,11271J107,3380,231998,SOLE,
CHEVRON CORP.,166764100,2003,311045,SOLE,
CITIGROUP INC,172967424,876660,88980990,SOLE,
COMCAST CORP NEW CL A,20030N101,6380,200459,SOLE,
CSX CORP COM,126408103,40731,1446357,SOLE,
DEUTSCHE BANK AG NAMEN AKT,D18190898,10000,354100,SOLE,
EXXONMOBIL,30231G102,17943,2023073,SOLE,
FAIRFAX FINL HLDGS LTD SUB VTG,303901102,1018,1781644,SOLE,
FIRST NATL BK ALASKA COM,32112J106,4990,1357280,SOLE,
"FLAGSTAR FINANCIAL, INC.",649445400,4296752,49627485,SOLE,
GENIE ENERGY LTD CLASS                  B,372284208,191872,2868486,SOLE,
GSK PLC ADR            F SPONSORED ADR,37733W204,260837,11257724,SOLE,
HALEON PLC             F SPONSORED ADR,405552100,68027,610202,SOLE,
IDT CORP CLASS                  B,448947507,392357,20524194,SOLE,
INTL BUSINESS MACHINES (IBM CSUS),459200101,1508,425497,SOLE,
JPMORGAN CHASE,46625H100,2668,841567,SOLE,
M B I A INC,55262C100,1029794,7671965,SOLE,
MERCK & CO. INC.,58933Y105,433750,36404663,SOLE,
MICROSOFT,594918104,1905,986694,SOLE,
NAVIENT CORP,63938C108,20600,270890,SOLE,
NOVARTIS AG SPONSORED ADR,66987V109,14326,1837166,SOLE,
NVIDIA CORP COM,67066G104,1740,324784,SOLE,
ORANGE CNTY BANCORP INC COM,68417L107,8000,201680,SOLE,
ORGANON & CO,68622V106,3616845,38627904,SOLE,
PATTERSON UTI ENERGY,703481101,1885460,9766682,SOLE,
PEPSICO INC COM,713448108,1800,252792,SOLE,
PEYTO EXPL & DEV CORP NEW COM,717046106,31857,415157,SOLE,
PFIZER,717081103,707144,18018029,SOLE,
PINE CLIFF ENERGY LTD COM,722524105,520000,235479,SOLE,
PNC FINL SVCS GROUP INC COM,693475105,1457,292755,SOLE,
PROCTER & GAMBLE,742718109,1767,271499,SOLE,
PUBLIC SVC ENTERPRISE GROUP INC COM,744573106,3624,302459,SOLE,
RAFAEL HOLDINGS INC CLASS                  B,75062E106,158674,215796,SOLE,
SEABOARD CORP,811543107,7724,28169428,SOLE,
SEAPORT ENTMT GROUP INC COM,812215200,583364,13370702,SOLE,
SEI INVT CO PA PV $0.01,784117103,6596,559670,SOLE,
TOURMALINE OIL CORP COM,89156V106,24409,1053066,SOLE,
VERIZON,92343V104,7237,318066,SOLE,
WALT DISNEY,254687106,394524,45172998,SOLE,
WEBSTER FINL CO,947890109,30173,1793483,SOLE,
WINDROCK LTD CO,97349V107,569,253216,SOLE,
ZEDGE INC       00500 CLASS                  B,98923T104,82904,241250,SOLE,
