Company,CUSIP,Shares,Value,Discretion
Alphabet Inc Class                  C,02079K107,135416,42493540,SOLE
American Express Co Com,025816109,610,225669,SOLE
Antero Midstream Corp Com,03676B102,18856,335448,SOLE
Antero Res Corp Com,03674X106,6242,215099,SOLE
Apple Inc Com,037833100,3092,840591,SOLE
Assured Guaranty LTD   F,G0585R106,3110,279495,SOLE
Bank Of America Corp,060505104,10484,576620,SOLE
Bayer AG Spons ADR,072730302,6754291,73082408,SOLE
Blackstone Inc Com,09260D107,2300,354522,SOLE
BP PLC,055622104,1038402,36063701,SOLE
Bristol-Myers Squibb,110122108,202196,10906452,SOLE
Brookfield Corp VTG SHS CL A,11271J107,5070,233117,SOLE
Chevron Corp.,166764100,2003,305277,SOLE
Citigroup Inc,172967424,876278,102252879,SOLE
Comcast Corp New CL A,20030N101,7025,209977,SOLE
CSX Corp Com,126408103,37531,1360498,SOLE
Deutsche Bank AG Namen Akt,D18190898,10000,385600,SOLE
ExxonMobil,30231G102,20217,2432913,SOLE
Fairfax Finl HLDGS LTD Sub VTG,303901102,1018,1942925,SOLE
First Natl BK Alaska Com,32112J106,4920,1474770,SOLE
"Flagstar Financial, Inc.",649445400,4177212,52591099,SOLE
Genie Energy LTD Class                  B,372284208,190312,2622499,SOLE
GSK PLC ADR,37733W204,178696,8763251,SOLE
Haleon PLC,405552100,65321,660395,SOLE
Idt Corp Class                  B,448947507,392011,20074883,SOLE
Intl Business Machines,459200101,1228,363745,SOLE
JPMorgan Chase,46625H100,3468,1117458,SOLE
M B I A Inc,55262C100,1028784,7366093,SOLE
Merck & Co. Inc.,58933Y105,430103,45272674,SOLE
Microsoft,594918104,2392,1156819,SOLE
Navient Corp,63938C108,20600,267800,SOLE
Novartis AG Sponsored ADR,66987V109,13678,1885785,SOLE
Nvidia Corp Com,67066G104,1740,324680,SOLE
Orange CNTY Bancorp Inc Com,68417L107,8000,228400,SOLE
Organon & Co,68622V106,3629451,26023163,SOLE
Patterson Uti Energy,703481101,1742013,10643699,SOLE
Pepsico Inc Com,713448108,1800,258336,SOLE
Peyto Expl & Dev Corp New Com,717046106,31857,527850,SOLE
Pfizer,717081103,553950,13793355,SOLE
Pine Cliff Energy LTD Com,722524105,520000,307310,SOLE
PNC Finl SVCS Group Inc Com,693475105,2257,471103,SOLE
Procter & Gamble,742718109,1867,267559,SOLE
Public SVC Enterprise Group Inc Com,744573106,4424,355247,SOLE
Rafael Holdings Inc Class                  B,75062E106,59246,69910,SOLE
Seaboard Corp,811543107,7285,32380513,SOLE
Seaport Entmt Group Inc Com,812215200,586170,11588580,SOLE
Sei Invt Co Pa PV $0.01,784117103,6596,541003,SOLE
Tourmaline Oil Corp Com,89156V106,26959,1211049,SOLE
Tphgreenwich Trust Uni,008997017,166999,0,SOLE
Verizon,92343V104,8147,331827,SOLE
Walt Disney,254687106,394369,44867361,SOLE
Webster Finl Co,947890109,29833,1877689,SOLE
Windrock LTD Co,97349V107,569,250360,SOLE
Zedge Inc       00500 Class                  B,98923T104,82558,270790,SOLE
