Company,CUSIP,Shares,Value,Discretion,PutCall
ADOBE INC,00724F101,7000,1435140,SOLE,
ALPHABET INC,02079K305,1286845,459879798,SOLE,
AMERICAN EXPRESS CO,025816109,7600,2570700,SOLE,
BROWN FORMAN CORP,115637100,2134789,58407827,SOLE,
BROWN FORMAN CORP,115637209,1379324,36758985,SOLE,
CANADIAN PACIFIC KANSAS CITY,13646K108,30000,2599500,SOLE,
CME GROUP INC,12572Q105,6900,1523727,SOLE,
COCA COLA CO,191216100,12000,975240,SOLE,
DISNEY WALT CO,254687106,2607846,251005178,SOLE,
EBAY INC.,278642103,1116001,124713112,SOLE,
EQUIFAX INC,294429105,11800,1872896,SOLE,
FAIR ISAAC CORP,303250104,226186,270242509,SOLE,
INTUIT,461202103,666883,174056463,SOLE,
KKR & CO INC,48251W104,667780,61288848,SOLE,
LAUDER ESTEE COS INC,518439104,15000,1184250,SOLE,
MADISON SQUARE GRDN SPRT COR,55825T103,2800,1125152,SOLE,
MANCHESTER UTD PLC NEW,G5784H106,2758446,63251167,SOLE,
MONDELEZ INTL INC,609207105,2565453,148385802,SOLE,
NIKE INC,654106103,21000,862050,SOLE,
ORACLE CORP,68389X105,9000,1318950,SOLE,
PAYPAL HLDGS INC,70450Y103,3162672,136564177,SOLE,
PEPSICO INC,713448108,1023706,138609792,SOLE,
S&P GLOBAL INC,78409V104,7400,3013724,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,514512,257955736,SOLE,
TKO GROUP HOLDINGS INC,87256C101,2098862,422521909,SOLE,
VERISK ANALYTICS INC,92345Y106,9500,1705535,SOLE,
VISA INC,92826C839,10500,3602445,SOLE,
WARNER MUSIC GROUP CORP,934550203,50000,1353500,SOLE,
