Company,CUSIP,Shares,Value,Discretion
AMAZON COM INC,023135106,5482267,1021510810,SOLE
APPLOVIN CORP,03831W108,2369866,309386006,SOLE
ARES MANAGEMENT CORPORATION,03990B101,2051816,319755005,SOLE
ASML HOLDING N V,N07059210,551313,459381557,SOLE
BITDEER TECHNOLOGIES GROUP,G11448100,1297965,10163066,SOLE
BLOCK INC,852234103,7670523,514922209,SOLE
BOOKING HOLDINGS INC,09857L108,76414,321864938,SOLE
CONSTELLATION ENERGY CORP,21037T109,2394231,622547945,SOLE
GE VERNOVA INC,36828A101,1156011,294759685,SOLE
HOWMET AEROSPACE INC,443201108,3061707,306936127,SOLE
HUT 8 CORP,44812J104,1232752,15113540,SOLE
INTUIT,461202103,921361,572165181,SOLE
IRIS ENERGY LTD,Q4982L109,711839,6007921,SOLE
KKR & CO INC,48251W104,4522730,590578083,SOLE
LENNAR CORP,526057104,2927654,548876572,SOLE
LPL FINL HLDGS INC,50212V100,2180137,507165270,SOLE
META PLATFORMS INC,30303M102,1891337,1082676952,SOLE
MICROSOFT CORP,594918104,1655779,712481704,SOLE
PHILIP MORRIS INTL INC,718172109,4480656,543951638,SOLE
PTC INC,69370C100,2548199,460357631,SOLE
SALESFORCE INC,79466L302,2337830,639887449,SOLE
SPOTIFY TECHNOLOGY S A,L8681T102,1552529,572153512,SOLE
STARBUCKS CORP,855244109,4050850,394917367,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,4212861,731647570,SOLE
TALEN ENERGY CORP,87422Q109,856215,152611762,SOLE
TERAWULF INC,88080T104,3067796,14357285,SOLE
UNITEDHEALTH GROUP INC,91324P102,821880,480536798,SOLE
VISTRA CORP,92840M102,6806291,806817735,SOLE
WORKDAY INC,98138H101,1604385,392127738,SOLE
